X1ha.Plot.Number,Sampling.Period,PlotBiomass.kg,PlotCarbon.tonnes,Reserve_size.sqkm,Continent,Country,Precip_mean.mm,Precip_CV,Elevation,Distance_to_forest_edge
VG-CAX-1,2007.01,450384.06,247.71,330,Latin America,Brazil,2342,0.574765076,44,3.1
VG-CAX-1,2008.01,455411.9,250.48,330,Latin America,Brazil,2342,0.574765076,44,3.1
VG-CAX-1,2008.1,NaN,NaN,330,Latin America,Brazil,2342,0.574765076,44,3.1
VG-CAX-1,2009.01,440786.79,242.43,330,Latin America,Brazil,2342,0.574765076,44,3.1
VG-CAX-1,2010.01,463357.06,254.85,330,Latin America,Brazil,2342,0.574765076,44,3.1
VG-CAX-2,2003.01,518913.19,285.4,330,Latin America,Brazil,2342,0.574765076,42,1.7
VG-CAX-2,2004.01,525802.51,289.19,330,Latin America,Brazil,2342,0.574765076,42,1.7
VG-CAX-2,2005.01,533294.67,293.31,330,Latin America,Brazil,2342,0.574765076,42,1.7
VG-CAX-2,2005.02,533030.66,293.17,330,Latin America,Brazil,2342,0.574765076,42,1.7
VG-CAX-2,2006.01,536255.11,294.94,330,Latin America,Brazil,2342,0.574765076,42,1.7
VG-CAX-2,2007.01,540365.39,297.2,330,Latin America,Brazil,2342,0.574765076,42,1.7
VG-CAX-2,2008.01,535948.5,294.77,330,Latin America,Brazil,2342,0.574765076,42,1.7
VG-CAX-2,2008.1,NaN,NaN,330,Latin America,Brazil,2342,0.574765076,42,1.7
VG-CAX-2,2009.01,539646.68,296.81,330,Latin America,Brazil,2342,0.574765076,42,1.7
VG-CAX-2,2010.01,546178.83,300.4,330,Latin America,Brazil,2342,0.574765076,42,1.7
VG-CAX-3,2003.01,558385.91,307.11,330,Latin America,Brazil,2342,0.574765076,53,1.9
VG-CAX-3,2004.01,550016.49,302.51,330,Latin America,Brazil,2342,0.574765076,53,1.9
VG-CAX-3,2005.01,548220.5,301.52,330,Latin America,Brazil,2342,0.574765076,53,1.9
VG-CAX-3,2005.02,545996.24,300.3,330,Latin America,Brazil,2342,0.574765076,53,1.9
VG-CAX-3,2006.01,548287.99,301.56,330,Latin America,Brazil,2342,0.574765076,53,1.9
VG-CAX-3,2007.01,547368.01,301.05,330,Latin America,Brazil,2342,0.574765076,53,1.9
VG-CAX-3,2008.01,549710.31,302.34,330,Latin America,Brazil,2342,0.574765076,53,1.9
VG-CAX-3,2008.1,NaN,NaN,330,Latin America,Brazil,2342,0.574765076,53,1.9
VG-CAX-3,2009.01,556022.78,305.81,330,Latin America,Brazil,2342,0.574765076,53,1.9
VG-CAX-3,2010.01,637007.56,350.35,330,Latin America,Brazil,2342,0.574765076,53,1.9
VG-CAX-4,2003.01,470537.82,258.8,330,Latin America,Brazil,2342,0.574765076,48,1.7
VG-CAX-4,2004.01,484066.93,266.24,330,Latin America,Brazil,2342,0.574765076,48,1.7
VG-CAX-4,2005.01,466260.08,256.44,330,Latin America,Brazil,2342,0.574765076,48,1.7
VG-CAX-4,2005.02,462338.35,254.29,330,Latin America,Brazil,2342,0.574765076,48,1.7
VG-CAX-4,2006.01,472453.76,259.85,330,Latin America,Brazil,2342,0.574765076,48,1.7
VG-CAX-4,2007.01,475588.77,261.57,330,Latin America,Brazil,2342,0.574765076,48,1.7
VG-CAX-4,2008.01,472786.45,260.03,330,Latin America,Brazil,2342,0.574765076,48,1.7
VG-CAX-4,2008.1,NaN,NaN,330,Latin America,Brazil,2342,0.574765076,48,1.7
VG-CAX-4,2009.01,479913.68,263.95,330,Latin America,Brazil,2342,0.574765076,48,1.7
VG-CAX-4,2010.01,478605.35,263.23,330,Latin America,Brazil,2342,0.574765076,48,1.7
VG-CAX-5,2003.01,529342.3,291.14,330,Latin America,Brazil,2342,0.574765076,49,1
VG-CAX-5,2004.01,536307.73,294.97,330,Latin America,Brazil,2342,0.574765076,49,1
VG-CAX-5,2005.01,541350.29,297.74,330,Latin America,Brazil,2342,0.574765076,49,1
VG-CAX-5,2005.02,562678.64,309.47,330,Latin America,Brazil,2342,0.574765076,49,1
VG-CAX-5,2006.01,571922.91,314.56,330,Latin America,Brazil,2342,0.574765076,49,1
VG-CAX-5,2007.01,570947.66,314.02,330,Latin America,Brazil,2342,0.574765076,49,1
VG-CAX-5,2008.01,572846.09,315.07,330,Latin America,Brazil,2342,0.574765076,49,1
VG-CAX-5,2008.1,NaN,NaN,330,Latin America,Brazil,2342,0.574765076,49,1
VG-CAX-5,2009.01,582371.13,320.3,330,Latin America,Brazil,2342,0.574765076,49,1
VG-CAX-5,2010.01,588733.32,323.8,330,Latin America,Brazil,2342,0.574765076,49,1
VG-CAX-6,2003.01,399181.95,219.55,330,Latin America,Brazil,2342,0.574765076,50,2.2
VG-CAX-6,2004.01,399264.55,219.6,330,Latin America,Brazil,2342,0.574765076,50,2.2
VG-CAX-6,2005.01,385851.12,212.22,330,Latin America,Brazil,2342,0.574765076,50,2.2
VG-CAX-6,2005.02,384784.14,211.63,330,Latin America,Brazil,2342,0.574765076,50,2.2
VG-CAX-6,2006.01,382070.55,210.14,330,Latin America,Brazil,2342,0.574765076,50,2.2
VG-CAX-6,2007.01,387183.95,212.95,330,Latin America,Brazil,2342,0.574765076,50,2.2
VG-CAX-6,2008.01,384970.01,211.73,330,Latin America,Brazil,2342,0.574765076,50,2.2
VG-CAX-6,2008.1,NaN,NaN,330,Latin America,Brazil,2342,0.574765076,50,2.2
VG-CAX-6,2009.01,387199.63,212.96,330,Latin America,Brazil,2342,0.574765076,50,2.2
VG-CAX-6,2010.01,395174.24,217.35,330,Latin America,Brazil,2342,0.574765076,50,2.2
VG-CSN-1,2010.01,293968.92,161.68,16000,Latin America,Suriname,2516.625,0.506557666,NA,NA
VG-CSN-1,2011.01,6390307.05,3514.67,16000,Latin America,Suriname,2516.625,0.506557666,NA,NA
VG-CSN-2,2010.01,389471.59,214.21,16000,Latin America,Suriname,2516.625,0.506557666,76,3.1
VG-CSN-2,2011.01,8068636.11,4437.75,16000,Latin America,Suriname,2516.625,0.506557666,76,3.1
VG-CSN-3,2011.01,244797.41,134.64,16000,Latin America,Suriname,2516.625,0.506557666,34,0.7
VG-CSN-5,2010.01,305251.41,167.89,16000,Latin America,Suriname,2516.625,0.506557666,53,4
VG-CSN-5,2011.01,6831186.01,3757.15,16000,Latin America,Suriname,2516.625,0.506557666,53,4
VG-COU-1,2011.01,642345.96,353.29,16921,Latin America,Peru,3393.55102,0.42916783,346,0.1
VG-COU-2,2011.01,370816.18,203.95,16921,Latin America,Peru,3393.55102,0.42916783,357,0.1
VG-COU-3,2011.01,249632.96,137.3,16921,Latin America,Peru,3393.55102,0.42916783,355,0.8
VG-COU-4,2011.01,223332.44,122.83,16921,Latin America,Peru,3393.55102,0.42916783,358,0.6
VG-COU-5,2011.01,3238771.8,1781.32,16921,Latin America,Peru,3393.55102,0.42916783,338,0.7
VG-COU-6,2011.01,374985.19,206.24,16921,Latin America,Peru,3393.55102,0.42916783,340,0.2
VG-KRP-1,2011.01,44407987.66,24424.39,127,Africa,Cameroon,2744.25,0.716143166,135,8.4
VG-KRP-1,2012.01,348490.92,191.67,127,Africa,Cameroon,2744.25,0.716143166,135,8.4
VG-KRP-2,2011.01,361105.52,198.61,127,Africa,Cameroon,2744.25,0.716143166,153,10.5
VG-KRP-2,2012.01,366556.32,201.61,127,Africa,Cameroon,2744.25,0.716143166,153,10.5
VG-KRP-3,2011.01,385613.93,212.09,127,Africa,Cameroon,2744.25,0.716143166,206,10.5
VG-KRP-3,2012.01,390440.18,214.74,127,Africa,Cameroon,2744.25,0.716143166,206,10.5
VG-KRP-4,2011.01,238518.17,131.18,127,Africa,Cameroon,2744.25,0.716143166,237,13
VG-KRP-4,2012.01,243112.63,133.71,127,Africa,Cameroon,2744.25,0.716143166,237,13
VG-KRP-5,2011.01,440490.57,242.27,127,Africa,Cameroon,2744.25,0.716143166,157,13
VG-KRP-5,2012.01,439919.15,241.96,127,Africa,Cameroon,2744.25,0.716143166,157,13
VG-KRP-6,2011.01,468420.7,257.63,127,Africa,Cameroon,2744.25,0.716143166,348,15.4
VG-KRP-6,2012.01,472878.87,260.08,127,Africa,Cameroon,2744.25,0.716143166,348,15.4
VG-MAS-1,2003.01,433929.16,238.66,2678,Latin America,Brazil,2192,0.428891421,81,5.3
VG-MAS-1,2004.01,421714.81,231.94,2678,Latin America,Brazil,2192,0.428891421,81,5.3
VG-MAS-1,2005.01,358953.6,197.42,2678,Latin America,Brazil,2192,0.428891421,81,5.3
VG-MAS-1,2005.02,352016.63,193.61,2678,Latin America,Brazil,2192,0.428891421,81,5.3
VG-MAS-1,2006.01,345609.01,190.08,2678,Latin America,Brazil,2192,0.428891421,81,5.3
VG-MAS-1,2007.01,351089.57,193.1,2678,Latin America,Brazil,2192,0.428891421,81,5.3
VG-MAS-1,2008.01,417474.05,229.61,2678,Latin America,Brazil,2192,0.428891421,81,5.3
VG-MAS-1,2009.01,416043.45,228.82,2678,Latin America,Brazil,2192,0.428891421,81,5.3
VG-MAS-1,2010.01,427472.09,235.11,2678,Latin America,Brazil,2192,0.428891421,81,5.3
VG-MAS-1,2011.01,434644.86,239.05,2678,Latin America,Brazil,2192,0.428891421,81,5.3
VG-MAS-2,2003.01,370085.65,203.55,2678,Latin America,Brazil,2192,0.428891421,107,3.5
VG-MAS-2,2004.01,368803.26,202.84,2678,Latin America,Brazil,2192,0.428891421,107,3.5
VG-MAS-2,2005.01,367910.98,202.35,2678,Latin America,Brazil,2192,0.428891421,107,3.5
VG-MAS-2,2005.02,372502.4,204.88,2678,Latin America,Brazil,2192,0.428891421,107,3.5
VG-MAS-2,2006.01,370987.13,204.04,2678,Latin America,Brazil,2192,0.428891421,107,3.5
VG-MAS-2,2007.01,376389.39,207.01,2678,Latin America,Brazil,2192,0.428891421,107,3.5
VG-MAS-2,2008.01,379099.76,208.5,2678,Latin America,Brazil,2192,0.428891421,107,3.5
VG-MAS-2,2009.01,382996.15,210.65,2678,Latin America,Brazil,2192,0.428891421,107,3.5
VG-MAS-2,2010.01,389006.62,213.95,2678,Latin America,Brazil,2192,0.428891421,107,3.5
VG-MAS-2,2011.01,393793.04,216.59,2678,Latin America,Brazil,2192,0.428891421,107,3.5
VG-MAS-3,2003.01,312090.83,171.65,2678,Latin America,Brazil,2192,0.428891421,128,8.9
VG-MAS-3,2004.01,314389.81,172.91,2678,Latin America,Brazil,2192,0.428891421,128,8.9
VG-MAS-3,2005.01,315047.95,173.28,2678,Latin America,Brazil,2192,0.428891421,128,8.9
VG-MAS-3,2005.02,317468.28,174.61,2678,Latin America,Brazil,2192,0.428891421,128,8.9
VG-MAS-3,2006.01,318659.57,175.26,2678,Latin America,Brazil,2192,0.428891421,128,8.9
VG-MAS-3,2007.01,322751.07,177.51,2678,Latin America,Brazil,2192,0.428891421,128,8.9
VG-MAS-3,2008.01,324627.76,178.55,2678,Latin America,Brazil,2192,0.428891421,128,8.9
VG-MAS-3,2009.01,327997.78,180.4,2678,Latin America,Brazil,2192,0.428891421,128,8.9
VG-MAS-3,2010.01,333251.7,183.29,2678,Latin America,Brazil,2192,0.428891421,128,8.9
VG-MAS-3,2011.01,334585,184.02,2678,Latin America,Brazil,2192,0.428891421,128,8.9
VG-MAS-4,2003.01,270755.03,148.92,2678,Latin America,Brazil,2192,0.428891421,149,19.8
VG-MAS-4,2004.01,274078.71,150.74,2678,Latin America,Brazil,2192,0.428891421,149,19.8
VG-MAS-4,2005.01,275799.67,151.69,2678,Latin America,Brazil,2192,0.428891421,149,19.8
VG-MAS-4,2005.02,277145.93,152.43,2678,Latin America,Brazil,2192,0.428891421,149,19.8
VG-MAS-4,2006.01,273758.81,150.57,2678,Latin America,Brazil,2192,0.428891421,149,19.8
VG-MAS-4,2007.01,273350.86,150.34,2678,Latin America,Brazil,2192,0.428891421,149,19.8
VG-MAS-4,2008.01,278679.64,153.27,2678,Latin America,Brazil,2192,0.428891421,149,19.8
VG-MAS-4,2009.01,290048.01,159.53,2678,Latin America,Brazil,2192,0.428891421,149,19.8
VG-MAS-4,2010.01,289105.86,159.01,2678,Latin America,Brazil,2192,0.428891421,149,19.8
VG-MAS-4,2011.01,293915.24,161.65,2678,Latin America,Brazil,2192,0.428891421,149,19.8
VG-MAS-5,2003.01,319903.84,175.95,2678,Latin America,Brazil,2192,0.428891421,77,10.7
VG-MAS-5,2004.01,318854.48,175.37,2678,Latin America,Brazil,2192,0.428891421,77,10.7
VG-MAS-5,2005.01,307349.13,169.04,2678,Latin America,Brazil,2192,0.428891421,77,10.7
VG-MAS-5,2005.02,305903.09,168.25,2678,Latin America,Brazil,2192,0.428891421,77,10.7
VG-MAS-5,2006.01,295954.07,162.77,2678,Latin America,Brazil,2192,0.428891421,77,10.7
VG-MAS-5,2007.01,302184.89,166.2,2678,Latin America,Brazil,2192,0.428891421,77,10.7
VG-MAS-5,2008.01,305126.5,167.82,2678,Latin America,Brazil,2192,0.428891421,77,10.7
VG-MAS-5,2009.01,312693.07,171.98,2678,Latin America,Brazil,2192,0.428891421,77,10.7
VG-MAS-5,2010.01,318357.81,175.1,2678,Latin America,Brazil,2192,0.428891421,77,10.7
VG-MAS-5,2011.01,320453.57,176.25,2678,Latin America,Brazil,2192,0.428891421,77,10.7
VG-MAS-6,2003.01,292267.02,160.75,2678,Latin America,Brazil,2192,0.428891421,119,7.8
VG-MAS-6,2004.01,294582.44,162.02,2678,Latin America,Brazil,2192,0.428891421,119,7.8
VG-MAS-6,2005.01,291252.54,160.19,2678,Latin America,Brazil,2192,0.428891421,119,7.8
VG-MAS-6,2005.02,292952.3,161.12,2678,Latin America,Brazil,2192,0.428891421,119,7.8
VG-MAS-6,2006.01,293963.97,161.68,2678,Latin America,Brazil,2192,0.428891421,119,7.8
VG-MAS-6,2007.01,291407.68,160.27,2678,Latin America,Brazil,2192,0.428891421,119,7.8
VG-MAS-6,2008.01,293325.02,161.33,2678,Latin America,Brazil,2192,0.428891421,119,7.8
VG-MAS-6,2009.01,297236.96,163.48,2678,Latin America,Brazil,2192,0.428891421,119,7.8
VG-MAS-6,2010.01,303206.84,166.76,2678,Latin America,Brazil,2192,0.428891421,119,7.8
VG-MAS-6,2011.01,304829.96,167.66,2678,Latin America,Brazil,2192,0.428891421,119,7.8
VG-NAK-1,2009.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,713,2.1
VG-NAK-1,2010.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,713,2.1
VG-NAK-1,2011.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,713,2.1
VG-NAK-2,2009.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,1010,1.2
VG-NAK-2,2010.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,1010,1.2
VG-NAK-2,2011.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,1010,1.2
VG-NAK-3,2009.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,433,0.2
VG-NAK-3,2010.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,433,0.2
VG-NAK-3,2011.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,433,0.2
VG-NAK-4,2009.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,590,0.3
VG-NAK-4,2010.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,590,0.3
VG-NAK-4,2011.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,590,0.3
VG-NAK-5,2009.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,404,0.4
VG-NAK-5,2010.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,404,0.4
VG-NAK-5,2011.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,404,0.4
VG-NAK-6,2009.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,434,0.3
VG-NAK-6,2010.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,434,0.3
VG-NAK-6,2011.01,NaN,NaN,1690,Asia,Laos,1994,0.9599146,434,0.3
VG-NNN-1,2009.01,423410.2,232.88,4200,Africa,Congo,1662.2,0.456936366,470,35.8
VG-NNN-1,2010.01,416711.42,229.19,4200,Africa,Congo,1662.2,0.456936366,470,35.8
VG-NNN-2,2009.01,427306.2,235.02,4200,Africa,Congo,1662.2,0.456936366,504,32.7
VG-NNN-2,2010.01,426991.35,234.85,4200,Africa,Congo,1662.2,0.456936366,504,32.7
VG-NNN-3,2009.01,340167.39,187.09,4200,Africa,Congo,1662.2,0.456936366,460,30.1
VG-NNN-3,2010.01,339517.63,186.73,4200,Africa,Congo,1662.2,0.456936366,460,30.1
VG-NNN-4,2009.01,365845.95,201.22,4200,Africa,Congo,1662.2,0.456936366,461,13
VG-NNN-4,2010.01,366580.66,201.62,4200,Africa,Congo,1662.2,0.456936366,461,13
VG-NNN-5,2009.01,467986.42,257.39,4200,Africa,Congo,1662.2,0.456936366,441,10.4
VG-NNN-5,2010.01,468438.8,257.64,4200,Africa,Congo,1662.2,0.456936366,441,10.4
VG-NNN-6,2009.01,257063.33,141.38,4200,Africa,Congo,1662.2,0.456936366,449,15.6
VG-NNN-6,2010.01,257881,141.83,4200,Africa,Congo,1662.2,0.456936366,449,15.6
VG-PSH-1,2012.01,256772.88,141.23,140,Asia,Malaysia,2067.444444,0.294772684,391,2.3
VG-PSH-2,2012.01,272452.73,149.85,140,Asia,Malaysia,2067.444444,0.294772684,651,0.1
VG-PSH-3,2012.01,344548.66,189.5,140,Asia,Malaysia,2067.444444,0.294772684,792,1.5
VG-PSH-4,2012.01,270114.14,148.56,140,Asia,Malaysia,2067.444444,0.294772684,426,0.1
VG-PSH-5,2012.01,279249.33,153.59,140,Asia,Malaysia,2067.444444,0.294772684,419,0.3
VG-PSH-6,2012.01,83791.94,46.09,140,Asia,Malaysia,2067.444444,0.294772684,115,1.4
VG-RNF-1,2010.01,554357.83,304.9,416,Africa,Madagascar,1553,0.687382586,1173,2.7
VG-RNF-1,2011.01,554302.37,304.87,416,Africa,Madagascar,1553,0.687382586,1173,2.7
VG-RNF-2,2010.01,489181.7,269.05,416,Africa,Madagascar,1553,0.687382586,1147,1.2
VG-RNF-2,2011.01,542541.56,298.4,416,Africa,Madagascar,1553,0.687382586,1147,1.2
VG-RNF-3,2010.01,341294.37,187.71,416,Africa,Madagascar,1553,0.687382586,1168,2.5
VG-RNF-3,2011.01,358169.87,196.99,416,Africa,Madagascar,1553,0.687382586,1168,2.5
VG-RNF-4,2010.01,324813.24,178.65,416,Africa,Madagascar,1553,0.687382586,1159,3
VG-RNF-4,2011.01,326575.35,179.62,416,Africa,Madagascar,1553,0.687382586,1159,3
VG-RNF-5,2010.01,327572.7,180.16,416,Africa,Madagascar,1553,0.687382586,1218,4.3
VG-RNF-5,2011.01,273698.47,150.53,416,Africa,Madagascar,1553,0.687382586,1218,4.3
VG-RNF-6,2010.01,371812.78,204.5,416,Africa,Madagascar,1553,0.687382586,1053,1.5
VG-RNF-6,2011.01,407615.15,224.19,416,Africa,Madagascar,1553,0.687382586,1053,1.5
VG-UDZ-1,2009.01,257507.19,141.63,1990,Africa,Tanzania,1370.888889,0.909953735,1140,0.7
VG-UDZ-1,2010.01,263401.25,144.87,1990,Africa,Tanzania,1370.888889,0.909953735,1140,0.7
VG-UDZ-1,2011.01,251795.25,138.49,1990,Africa,Tanzania,1370.888889,0.909953735,1140,0.7
VG-UDZ-2,2009.01,312998.33,172.15,1990,Africa,Tanzania,1370.888889,0.909953735,1856,1.8
VG-UDZ-2,2010.01,314453.52,172.95,1990,Africa,Tanzania,1370.888889,0.909953735,1856,1.8
VG-UDZ-2,2011.01,318385.15,175.11,1990,Africa,Tanzania,1370.888889,0.909953735,1856,1.8
VG-UDZ-3,2009.01,248039.76,136.42,1990,Africa,Tanzania,1370.888889,0.909953735,715,1.2
VG-UDZ-3,2010.01,256655.66,141.16,1990,Africa,Tanzania,1370.888889,0.909953735,715,1.2
VG-UDZ-3,2011.01,259151.96,142.53,1990,Africa,Tanzania,1370.888889,0.909953735,715,1.2
VG-UDZ-4,2009.01,328651.6,180.76,1990,Africa,Tanzania,1370.888889,0.909953735,1518,2.6
VG-UDZ-4,2010.01,319872.55,175.93,1990,Africa,Tanzania,1370.888889,0.909953735,1518,2.6
VG-UDZ-4,2011.01,324590.36,178.52,1990,Africa,Tanzania,1370.888889,0.909953735,1518,2.6
VG-UDZ-5,2008.01,159205.39,87.56,1990,Africa,Tanzania,1370.888889,0.909953735,1558,2.3
VG-UDZ-5,2009.01,164016.06,90.21,1990,Africa,Tanzania,1370.888889,0.909953735,1558,2.3
VG-UDZ-5,2010.01,171361.92,94.25,1990,Africa,Tanzania,1370.888889,0.909953735,1558,2.3
VG-UDZ-5,2011.01,174391.23,95.92,1990,Africa,Tanzania,1370.888889,0.909953735,1558,2.3
VG-UDZ-6,2009.01,323106.24,177.71,1990,Africa,Tanzania,1370.888889,0.909953735,911,0.6
VG-UDZ-6,2010.01,320418.05,176.23,1990,Africa,Tanzania,1370.888889,0.909953735,911,0.6
VG-UDZ-6,2011.01,323471.37,177.91,1990,Africa,Tanzania,1370.888889,0.909953735,911,0.6
VG-VB-1,2003.01,242613.5,133.44,492,Latin America,Costa Rica,3461.833333,0.393894645,106,0.8
VG-VB-1,2004.01,231544.07,127.35,492,Latin America,Costa Rica,3461.833333,0.393894645,106,0.8
VG-VB-1,2005.01,227671.94,125.22,492,Latin America,Costa Rica,3461.833333,0.393894645,106,0.8
VG-VB-1,2006.01,229764.43,126.37,492,Latin America,Costa Rica,3461.833333,0.393894645,106,0.8
VG-VB-1,2007.01,236061.63,129.83,492,Latin America,Costa Rica,3461.833333,0.393894645,106,0.8
VG-VB-1,2008.01,238975.22,131.44,492,Latin America,Costa Rica,3461.833333,0.393894645,106,0.8
VG-VB-1,2009.01,246407.92,135.52,492,Latin America,Costa Rica,3461.833333,0.393894645,106,0.8
VG-VB-1,2010.01,247152.51,135.93,492,Latin America,Costa Rica,3461.833333,0.393894645,106,0.8
VG-VB-1,2011.01,253173.79,139.25,492,Latin America,Costa Rica,3461.833333,0.393894645,106,0.8
VG-VB-2,2004.01,267776.66,147.28,492,Latin America,Costa Rica,3461.833333,0.393894645,174,0.1
VG-VB-2,2005.01,275345.17,151.44,492,Latin America,Costa Rica,3461.833333,0.393894645,174,0.1
VG-VB-2,2006.01,277401.19,152.57,492,Latin America,Costa Rica,3461.833333,0.393894645,174,0.1
VG-VB-2,2007.01,285217,156.87,492,Latin America,Costa Rica,3461.833333,0.393894645,174,0.1
VG-VB-2,2008.01,285102.18,156.81,492,Latin America,Costa Rica,3461.833333,0.393894645,174,0.1
VG-VB-2,2009.01,290999.04,160.05,492,Latin America,Costa Rica,3461.833333,0.393894645,174,0.1
VG-VB-2,2010.01,293937.26,161.67,492,Latin America,Costa Rica,3461.833333,0.393894645,174,0.1
VG-VB-2,2011.01,299607.47,164.78,492,Latin America,Costa Rica,3461.833333,0.393894645,174,0.1
VG-VB-3,2006.01,306189.33,168.4,492,Latin America,Costa Rica,3461.833333,0.393894645,576,2.1
VG-VB-3,2007.01,304966.07,167.73,492,Latin America,Costa Rica,3461.833333,0.393894645,576,2.1
VG-VB-3,2008.01,307314.08,169.02,492,Latin America,Costa Rica,3461.833333,0.393894645,576,2.1
VG-VB-3,2010.01,307334.53,169.03,492,Latin America,Costa Rica,3461.833333,0.393894645,576,2.1
