Plot.Number,Sampling.Period,Site.Name,Number.of.Tree.Family,Number.of.Tree.Genus,Number.of.Trees.counted,shannon,wd.RaoQ,maxdbh.RaoQ,CWM.wd,CWM.maxdbh,PD,PlotBiomass.kg,PlotCarbon.tonnes,Reserve_size.sqkm,Continent,Country,Precip_mean.mm,Precip_CV,Elevation,Distance_to_forest_edge,Latitude,Longitude,Annual_Evapotranspiration
VG-PSH-1,2012.01,Pasoh Forest Reserve,44,104,665,3.80653424,0.4461225,0.11392871,0.609221125,59.51353383,10962.08138,256772.88,141.23,140,Asia,Malaysia,2067.444444,0.294772684,391,2.3,2.982,103.313,117.0350265
VG-PSH-2,2012.01,Pasoh Forest Reserve,42,104,435,3.92086165,0.561835262,0.09405911,0.551276034,55.74068966,11068.61997,272452.73,149.85,140,Asia,Malaysia,2067.444444,0.294772684,651,0.1,2.982,103.313,117.0350265
VG-PSH-3,2012.01,Pasoh Forest Reserve,31,62,339,3.49870913,1.583080524,0.075478424,0.521449119,58.8120944,6853.573986,344548.66,189.5,140,Asia,Malaysia,2067.444444,0.294772684,792,1.5,2.982,103.313,117.0350265
VG-PSH-4,2012.01,Pasoh Forest Reserve,46,97,371,4.11483146,0.697184108,0.079648511,0.572440367,54.83719677,10900.4932,270114.14,148.56,140,Asia,Malaysia,2067.444444,0.294772684,426,0.1,2.982,103.313,117.0350265
VG-PSH-5,2012.01,Pasoh Forest Reserve,39,80,382,3.89885961,0.64962319,0.07413429,0.596793553,56.84790576,9264.85203,279249.33,153.59,140,Asia,Malaysia,2067.444444,0.294772684,419,0.3,2.982,103.313,117.0350265
VG-PSH-6,2012.01,Pasoh Forest Reserve,35,70,307,3.46061319,1.199793619,0.063245869,0.525049555,48.31563518,8463.862818,83791.94,46.09,140,Asia,Malaysia,2067.444444,0.294772684,115,1.4,2.982,103.313,117.0350265
VG-RNF-1,2011.01,Ranomafana,36,59,742,3.268024,0.464200976,0.172166243,0.580585322,91.60876011,7069.223715,554302.37,304.87,416,Africa,Madagascar,1553,0.687382586,1173,2.7,-21.133,47.417,139.069029
VG-RNF-2,2011.01,Ranomafana,44,76,1033,3.65277688,0.63440956,0.17257985,0.604036408,71.96127783,8725.962723,542541.56,298.4,416,Africa,Madagascar,1553,0.687382586,1147,1.2,-21.133,47.417,139.069029
VG-RNF-3,2011.01,Ranomafana,41,63,1413,2.94256171,0.342308307,0.076370272,0.616263492,62.25406936,8023.723147,358169.87,196.99,416,Africa,Madagascar,1553,0.687382586,1168,2.5,-21.133,47.417,139.069029
VG-RNF-4,2011.01,Ranomafana,36,59,957,3.19419716,0.490055742,0.099553977,0.62499856,62.98798328,7182.948932,326575.35,179.62,416,Africa,Madagascar,1553,0.687382586,1159,3,-21.133,47.417,139.069029
VG-RNF-5,2011.01,Ranomafana,37,52,1270,2.91412989,0.455677642,0.115368791,0.609204063,69.18834646,6615.733865,273698.47,150.53,416,Africa,Madagascar,1553,0.687382586,1218,4.3,-21.133,47.417,139.069029
VG-RNF-6,2011.01,Ranomafana,41,73,1075,3.64994918,0.511170402,0.131600999,0.583834883,69.08902326,8147.533309,407615.15,224.19,416,Africa,Madagascar,1553,0.687382586,1053,1.5,-21.133,47.417,139.069029
VG-UDZ-1,2011.01,Udzungwa,22,32,453,2.0767991,0.564038754,0.068164741,0.680360767,87.63818985,4797.60023,251795.25,138.49,1990,Africa,Tanzania,1370.888889,0.909953735,1140,0.7,-7.843,36.891,100.3821961
VG-UDZ-2,2011.01,Udzungwa,26,40,543,2.9547406,0.3797582,0.094090272,0.628207692,78.22909761,5471.102742,318385.15,175.11,1990,Africa,Tanzania,1370.888889,0.909953735,1856,1.8,-7.843,36.891,100.3821961
VG-UDZ-3,2011.01,Udzungwa,15,20,468,1.49454136,0.304221645,0.055196374,0.578407964,76.48055556,3003.288423,259151.96,142.53,1990,Africa,Tanzania,1370.888889,0.909953735,715,1.2,-7.843,36.891,100.3821961
VG-UDZ-4,2011.01,Udzungwa,35,46,700,3.12280971,0.342442782,0.172381828,0.659627151,71.50542857,6638.164085,324590.36,178.52,1990,Africa,Tanzania,1370.888889,0.909953735,1518,2.6,-7.843,36.891,100.3821961
VG-UDZ-5,2011.01,Udzungwa,19,22,471,1.67968974,1.034133067,0.302528514,0.570682394,87.81932059,3349.469584,174391.23,95.92,1990,Africa,Tanzania,1370.888889,0.909953735,1558,2.3,-7.843,36.891,100.3821961
VG-UDZ-6,2011.01,Udzungwa,25,36,582,2.78186648,0.300341102,0.119202227,0.647886574,76.04707904,5019.676671,323471.37,177.91,1990,Africa,Tanzania,1370.888889,0.909953735,911,0.6,-7.843,36.891,100.3821961
VG-VB-1,2011.01,Volcán Barva,40,73,477,3.42936506,1.451201427,0.105934097,0.50139863,52.32389937,8445.565488,253173.79,139.25,492,Latin_America,Costa Rica,3461.833333,0.393894645,106,0.8,10.303,-84.034,160.9697718
VG-VB-2,2011.01,Volcán Barva,36,74,503,3.65895861,1.103529183,0.089191092,0.555587331,56.00656064,8165.362717,299607.47,164.78,492,Latin_America,Costa Rica,3461.833333,0.393894645,174,0.1,10.303,-84.034,160.9697718
VG-VB-3,2011.01,Volcán Barva,49,108,649,4.10872586,0.88856773,0.044886158,0.599240145,51.09352851,11021.3078,305673.49,168.12,492,Latin_America,Costa Rica,3461.833333,0.393894645,576,2.1,10.303,-84.034,160.9697718
VG-VB-4,2011.01,Volcán Barva,51,99,689,3.8824506,0.839640074,0.045328073,0.593193399,49.33251089,11369.50685,295887.99,162.74,492,Latin_America,Costa Rica,3461.833333,0.393894645,406,1,10.303,-84.034,160.9697718
VG-VB-5,2011.01,Volcán Barva,34,43,536,3.04790922,0.491875672,0.097654752,0.514946793,55.77201493,6003.131167,276601.2,152.13,492,Latin_America,Costa Rica,3461.833333,0.393894645,1997,2.8,10.303,-84.034,160.9697718
VG-VB-7,2011.01,Volcán Barva,32,53,429,3.38337252,0.665828937,0.053152896,0.555328139,47.21235431,6601.088146,194031.57,106.72,492,Latin_America,Costa Rica,3461.833333,0.393894645,925,5,10.303,-84.034,160.9697718
VG-VB-8,2011.01,Volcán Barva,30,43,405,3.05312991,0.745922351,0.051976396,0.55940484,48.33407407,5818.731464,253993.98,139.7,492,Latin_America,Costa Rica,3461.833333,0.393894645,1447,3.9,10.303,-84.034,160.9697718
VG-VB-9,2011.01,Volcán Barva,44,74,390,3.55220325,1.175490815,0.123609425,0.522495108,56.79282051,8799.58316,299179.9,164.55,492,Latin_America,Costa Rica,3461.833333,0.393894645,68,0.7,10.303,-84.034,160.9697718
VG-YAN-5,2011.01,Yanachaga Chimillén National Park,46,89,718,3.63261801,0.840446695,0.028006575,0.560012818,36.03662953,9591.564129,205789.22,113.18,1106,Latin_America,Peru,2197.315789,0.444027387,1273,0.7,-10.494,-75.201,130.7047528
