X,Species,Development,Agriculture,Energy & Mining,Transportation,Hunting & Trade,Logging,Fishing,Human disturbance,Fire,Dams,Invasive species &d Disease,Pollution,Geological Events,Climate change & severe weather,Other,sum,Family,Order,risk,iucn,NTVUENCR,NTVUENCREWEX,CLASS
623,Cynisca leonina,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Amphisbaenidae,Squamata,1,VU,0,0,REPTILIA
628,Cynisca nigeriensis,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Amphisbaenidae,Squamata,1,VU,0,0,REPTILIA
629,Cynisca oligopholis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Amphisbaenidae,Squamata,1,EN,1,1,REPTILIA
674,Abronia anzuetoi,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Anguidae,Squamata,1,VU,0,0,REPTILIA
675,Abronia aurita,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Anguidae,Squamata,1,EN,1,1,REPTILIA
677,Abronia campbelli,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Anguidae,Squamata,1,CR,1,1,REPTILIA
678,Abronia chiszari,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Anguidae,Squamata,1,EN,1,1,REPTILIA
680,Abronia deppii,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Anguidae,Squamata,1,EN,1,1,REPTILIA
681,Abronia fimbriata,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Anguidae,Squamata,1,EN,1,1,REPTILIA
682,Abronia frosti,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Anguidae,Squamata,1,CR,1,1,REPTILIA
683,Abronia fuscolabialis,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Anguidae,Squamata,1,EN,1,1,REPTILIA
684,Abronia gaiophantasma,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Anguidae,Squamata,1,EN,1,1,REPTILIA
685,Abronia graminea,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Anguidae,Squamata,1,EN,1,1,REPTILIA
688,Abronia martindelcampoi,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Anguidae,Squamata,1,EN,1,1,REPTILIA
689,Abronia matudai,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Anguidae,Squamata,1,EN,1,1,REPTILIA
690,Abronia meledona,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Anguidae,Squamata,1,EN,1,1,REPTILIA
692,Abronia mixteca,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Anguidae,Squamata,1,VU,0,0,REPTILIA
693,Abronia montecristoi,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Anguidae,Squamata,1,EN,1,1,REPTILIA
694,Abronia oaxacae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Anguidae,Squamata,1,VU,0,0,REPTILIA
699,Abronia salvadorensis,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Anguidae,Squamata,1,EN,1,1,REPTILIA
701,Abronia taeniata,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Anguidae,Squamata,1,VU,0,0,REPTILIA
702,Abronia vasconcelosii,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,Anguidae,Squamata,1,VU,0,0,REPTILIA
710,Barisia herrerae,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,4,Anguidae,Squamata,1,EN,1,1,REPTILIA
715,Barisia rudicollis,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Anguidae,Squamata,1,EN,1,1,REPTILIA
728,Elgaria panamintina,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,Anguidae,Squamata,1,VU,0,0,REPTILIA
736,Gerrhonotus parvus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Anguidae,Squamata,1,EN,1,1,REPTILIA
741,Mesaspis juarezi,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Anguidae,Squamata,1,EN,1,1,REPTILIA
752,Anniella alexanderae,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Anniellidae,Squamata,1,VU,0,0,REPTILIA
754,Anniella geronimensis,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,Anniellidae,Squamata,1,EN,1,1,REPTILIA
755,Anniella grinnelli,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Anniellidae,Squamata,1,EN,1,1,REPTILIA
799,Charina umbratica,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,6,Boidae,Squamata,1,VU,0,0,REPTILIA
800,Chilabothrus angulifer,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Boidae,Squamata,0,NT,0,0,REPTILIA
801,Chilabothrus argentum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Boidae,Squamata,1,CR,1,1,REPTILIA
803,Chilabothrus exsul,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,Boidae,Squamata,1,VU,0,0,REPTILIA
808,Chilabothrus monensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,Boidae,Squamata,1,EN,1,1,REPTILIA
811,Chilabothrus subflavus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Boidae,Squamata,1,VU,0,0,REPTILIA
814,Corallus blombergi,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Boidae,Squamata,1,EN,1,1,REPTILIA
817,Corallus cropanii,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Boidae,Squamata,1,EN,1,1,REPTILIA
842,Exiliboa placata,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Boidae,Squamata,1,VU,0,0,REPTILIA
850,Bolyeria multocarinata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,Bolyeriidae,Squamata,1,EX,,1,REPTILIA
851,Casarea dussumieri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Bolyeriidae,Squamata,1,VU,0,0,REPTILIA
866,Phyllurus caudiannulatus,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Carphodactylidae,Squamata,0,NT,0,0,REPTILIA
875,Saltuarius eximius,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,Carphodactylidae,Squamata,1,EN,1,1,REPTILIA
883,Archaius tigris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
885,Bradypodion caeruleogula,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
886,Bradypodion caffer,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
888,Bradypodion dracomontanum,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
890,Bradypodion kentanicum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
891,Bradypodion melanocephalum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
892,Bradypodion nemorale,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
893,Bradypodion ngomeense,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
895,Bradypodion pumilum,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
898,Bradypodion thamnobates,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
901,Brookesia ambreensis,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
902,Brookesia antakarana,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
903,Brookesia bekolosy,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
904,Brookesia betschi,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
905,Brookesia bonsi,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,CR,1,1,REPTILIA
906,Brookesia brunoi,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
908,Brookesia confidens,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
909,Brookesia decaryi,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
910,Brookesia dentata,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
911,Brookesia desperata,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,CR,1,1,REPTILIA
912,Brookesia ebenaui,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
913,Brookesia exarmata,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
914,Brookesia griveaudi,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
915,Brookesia karchei,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
917,Brookesia lineata,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
918,Brookesia micra,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
919,Brookesia minima,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
920,Brookesia perarmata,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
921,Brookesia peyrierasi,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
922,Brookesia ramanantsoai,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
927,Brookesia tristis,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
928,Brookesia tuberculata,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
929,Brookesia vadoni,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
930,Brookesia valerieae,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
931,Calumma amber,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
932,Calumma ambreense,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
933,Calumma andringitraense,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
936,Calumma capuroni,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
938,Calumma cucullatum,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
940,Calumma furcifer,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
941,Calumma gallus,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
943,Calumma glawi,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
944,Calumma globifer,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
945,Calumma guibei,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
947,Calumma hafahafa,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,CR,1,1,REPTILIA
948,Calumma hilleniusi,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
949,Calumma jejy,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
952,Calumma marojezense,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
954,Calumma oshaughnessyi,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
955,Calumma parsonii,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
956,Calumma peltierorum,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
957,Calumma peyrierasi,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
958,Calumma tarzan,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,CR,1,1,REPTILIA
959,Calumma tsaratananense,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
960,Calumma tsycorne,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
962,Calumma vencesi,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
963,Calumma vohibola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
973,Chamaeleo monachus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
979,Furcifer antimena,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
980,Furcifer balteatus,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
981,Furcifer belalandaensis,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,CR,1,1,REPTILIA
983,Furcifer campani,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
985,Furcifer labordi,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
988,Furcifer minor,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
989,Furcifer nicosiai,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
992,Furcifer petteri,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
994,Furcifer rhinoceratus,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
995,Furcifer timoni,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
1001,Kinyongia asheorum,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
1002,Kinyongia boehmei,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
1003,Kinyongia carpenteri,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
1004,Kinyongia excubitor,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,VU,0,0,REPTILIA
1005,Kinyongia fischeri,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,0,NT,0,0,REPTILIA
1007,Kinyongia magomberae,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
1008,Kinyongia matschiei,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,Chamaeleonidae,Squamata,1,EN,1,1,REPTILIA
