"Gender","Burned","Weight"
"M","Not_past_20",1.97656814344233
"M","Not_past_20",1.9295818935963
"M","Not_past_20",1.81907290253225
"M","Not_past_20",1.86825339122838
"M","Not_past_20",1.96783772447227
"M","Not_past_20",1.86209864392984
"M","Not_past_20",1.91876820179016
"M","Not_past_20",1.93335819358823
"M","Not_past_20",1.89957118805093
"M","Not_past_20",1.90462202267073
"M","Not_past_20",1.91601413210157
"M","Not_past_20",1.90825456252505
"M","Not_past_20",1.8473396632874
"M","Not_past_20",1.92236973384059
"M","Not_past_20",1.95285684124494
"M","Not_past_20",1.8262421334926
"M","Not_past_20",1.9100366429885
"F","Recent",1.80332203755139
"F","Recent",1.75411883898106
"F","Recent",1.76665805016388
"F","Recent",1.84681790038807
"F","Recent",1.67609927239469
"F","Recent",1.57537996960311
"F","Recent",1.40531639634668
"F","Recent",1.84247771227429
"F","Recent",1.60973845410923
"F","Recent",1.51685021123921
"F","Recent",1.59541721240059
"F","Recent",1.66941839788356
"F","Recent",1.79272292053113
"F","Recent",1.58009562616889
"F","Recent",1.78659451893752
"F","Recent",1.44795681040445
"F","Recent",1.75947256077305
"F","Recent",1.7847572878161
"F","Recent",1.74195848892969
"F","Recent",1.66540785457161
"F","Recent",1.84480059016368
"F","Recent",1.65263100703851
"F","Recent",1.56137885505022
"F","Recent",1.63750074078311
"F","Recent",1.88940786641883
"F","Recent",1.70205420981482
"F","Recent",1.83176350932951
"F","Recent",1.55084927703328
"F","Recent",1.62146487599972
"F","Recent",1.66608868850425
"F","Recent",1.61973718306271
"F","Recent",1.81885533720901
"F","Recent",1.85047598861159
"F","Recent",1.90616658872588
"F","Recent",1.73222440029739
"F","Recent",1.59449091222119
"F","Recent",1.75139609036073
"F","Recent",1.74472559528345
"F","Recent",1.79806031251578
"F","Recent",1.73901806814363
"F","Recent",1.84774067654443
"F","Recent",1.69303743503193
"F","Recent",1.57327971415081
"F","Recent",1.78751510046731
"F","Recent",1.74469633962332
"F","Recent",1.60315722567268
"F","Recent",1.59574966440442
"F","Recent",1.55920034843727
"F","Recent",1.71949317131966
"F","Recent",1.69469316829174
"F","Five_years_ago",1.46428822460136
"F","Five_years_ago",1.62489655833296
"F","Five_years_ago",1.75316683228916
"F","Five_years_ago",1.84840263231392
"F","Five_years_ago",1.60120559348419
"F","Five_years_ago",1.87004528463299
"F","Five_years_ago",1.74745748532241
"F","Five_years_ago",1.82398898430414
"F","Five_years_ago",1.70737681610177
"F","Five_years_ago",1.78315988451424
"F","Five_years_ago",1.52383254638834
"F","Five_years_ago",1.66148970076064
"F","Five_years_ago",1.43913925377974
"F","Five_years_ago",1.80370306257156
"F","Five_years_ago",1.52304711799549
"F","Five_years_ago",1.62103967220403
"F","Five_years_ago",1.74088727327863
"F","Five_years_ago",1.82339974008567
"F","Five_years_ago",1.91591318806726
"F","Five_years_ago",1.70800902432835
"F","Five_years_ago",1.4705214149905
"F","Five_years_ago",1.64519488063788
"F","Five_years_ago",1.68409167311391
"F","Five_years_ago",1.76438956456856
"F","Five_years_ago",1.65380387001735
"F","Five_years_ago",1.59748616045301
"F","Five_years_ago",1.7188008646106
"F","Five_years_ago",1.74667174548463
"F","Five_years_ago",1.66536801447662
"F","Five_years_ago",1.62232235618286
"F","Five_years_ago",1.52168473757446
"F","Five_years_ago",1.53181399844331
"F","Five_years_ago",1.88844214559801
"F","Five_years_ago",1.73735577079271
"F","Five_years_ago",1.73101521823409
"F","Five_years_ago",1.70162062604252
"F","Five_years_ago",1.71361359775511
"F","Five_years_ago",1.84422806810998
"F","Five_years_ago",1.64501815217036
"F","Five_years_ago",1.68499342937217
"F","Five_years_ago",1.68648873899666
"F","Five_years_ago",1.73380517999321
"F","Five_years_ago",1.53034558699129
"F","Five_years_ago",1.46274722505078
"F","Five_years_ago",1.74930671549009
"F","Five_years_ago",1.60556391883277
"F","Five_years_ago",1.68541227579971
"F","Five_years_ago",1.62775162807585
"F","Five_years_ago",1.53187632558704
"F","Five_years_ago",1.70841723216576
"F","Not_past_20",1.37517876778396
"F","Not_past_20",1.54677552970377
"F","Not_past_20",1.28204798955533
"F","Not_past_20",1.52249314959504
"F","Not_past_20",1.56603821116619
"F","Not_past_20",1.42565256348703
"F","Not_past_20",1.36534516639523
"F","Not_past_20",1.25224980282905
"F","Not_past_20",1.52459186383043
"F","Not_past_20",1.46805605672874
"F","Not_past_20",1.35649040945443
"F","Not_past_20",1.5849615187415
"F","Not_past_20",1.38487187632175
"F","Not_past_20",1.52224608616181
"F","Not_past_20",1.64657138076196
"F","Not_past_20",1.68645123617536
"F","Not_past_20",1.70020798354865
"F","Not_past_20",1.56217378162318
"F","Not_past_20",1.7002849653663
"F","Not_past_20",1.41092301067771
"F","Not_past_20",1.534195720626
"F","Not_past_20",1.65970570562495
"F","Not_past_20",1.62926139743275
"F","Not_past_20",1.60930217075215
"F","Not_past_20",1.37994800318634
"F","Not_past_20",1.38049705804159
"F","Not_past_20",1.46551194832218
"F","Not_past_20",1.86217242206599
"F","Not_past_20",1.70221071021252
"F","Not_past_20",1.68945933757779
"F","Not_past_20",1.3207586494517
"F","Not_past_20",1.3367904494062
"F","Not_past_20",1.49649688932668
"F","Not_past_20",1.51984531692159
"F","Not_past_20",1.45312040899814
"F","Not_past_20",1.53341014977281
"F","Not_past_20",1.62506216257104
"F","Not_past_20",1.33893375000968
"F","Not_past_20",1.56429628178222
"F","Not_past_20",1.52860695164167
"F","Not_past_20",1.53101453527211
"F","Not_past_20",1.61280596564216
"F","Not_past_20",1.40537862384442
"F","Not_past_20",1.4297615718387
"F","Not_past_20",1.31105899045668
"F","Not_past_20",1.65725953768382
"F","Not_past_20",1.72684015943881
"F","Not_past_20",1.4429993013405
"F","Not_past_20",1.48143586342358
"F","Not_past_20",1.44719392064442
