Length,Growth,Mass,Predator,Exposure,Presence,expunit,Alive
44.3,28.6,11.61,Conchs,6,present,Conchs_6_p,A
38.9,24.8,6.93,Conchs,6,present,Conchs_6_p,A
37.7,22.55,9.94,Conchs,6,present,Conchs_6_p,A
38.35,28.1,12.33,Conchs,6,present,Conchs_6_p,A
45.3,31.2,10.78,Conchs,6,present,Conchs_6_p,A
50.8,30.55,18.45,Conchs,6,present,Conchs_6_p,A
52.4,33.15,29.92,Conchs,6,present,Conchs_6_p,A
39.1,27.2,13.17,Conchs,6,present,Conchs_6_p,A
51.15,35.8,25.5,Conchs,6,present,Conchs_6_p,A
41.6,28.15,11.82,Conchs,6,present,Conchs_6_p,A
38.35,25.25,10.99,Conchs,6,present,Conchs_6_p,A
54.6,38.25,17.92,Conchs,6,present,Conchs_6_p,A
45.6,27.65,10.63,Conchs,6,present,Conchs_6_p,A
56.25,43.55,18.77,Conchs,6,present,Conchs_6_p,A
42.55,30.85,15.43,Conchs,6,present,Conchs_6_p,A
51.05,31.8,26.13,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
42.1,25.85,16.52,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
42.35,28.1,13.92,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
48.7,34.8,19.28,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
48.25,28.6,16.32,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
63.7,49.7,22.82,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
51.55,40.6,17.13,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
45.3,33.45,14.7,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
46.15,28.8,14.53,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
45.2,30.7,14.71,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
52.5,38.7,20.41,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
49.4,36.05,15.36,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
50.25,40.25,16.45,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
45.35,27.5,17.27,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
57.75,42.8,37.12,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
55.9,35.7,25.97,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
50.1,33.05,16.23,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
44.5,34.65,15.7,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
50.7,31.8,29.62,Conchs,"3 
 con",present,"Conchs_3 
 con_g",A
58.15,42.4,23.34,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
40.2,30.1,14.26,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
56.25,30.05,36.86,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
49.95,33.4,NA,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
54.2,35.05,26.63,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
39.45,28.3,12.76,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
57.2,37.05,18.33,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
39.8,33.1,17.72,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
53.6,36.05,17.94,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
47.9,36.8,13.84,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
54.7,41.8,20.12,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
42.5,27.3,19.71,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
36.6,25.8,11.45,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
52.9,31.35,18.77,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
43.7,27.25,14.18,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
53.85,37.3,16.82,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
48.5,34.8,15.07,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
57.25,43.25,22.22,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
41.05,25.55,12.57,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
45.9,31.35,16.11,Conchs,"3 
 con",present,"Conchs_3 
 con_o",A
39.8,31.5,12.08,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
48.35,32.1,18.33,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
56.95,46.2,24.42,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
36.05,24.25,11.3,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
51.8,39.4,25.87,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
42.4,26.9,12.19,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
51.7,40.7,11.78,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
47.8,35.3,16,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
44.8,29.7,12.76,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
39.4,20.85,13.56,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
42.3,22.2,10.01,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
42.55,28.65,14.17,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
46.55,30.25,19.4,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
51.5,37.5,13.55,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
54.45,36.5,24.9,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
56.1,38.1,33.88,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
53.1,34.3,NA,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
38.2,26.65,14.74,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
50.65,34.7,17.28,Conchs,"3 
 con",present,"Conchs_3 
 con_p",A
47.5,30.15,20.81,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
43.9,30.55,14.81,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
48.3,32.75,18.63,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
51.3,30.1,37.95,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
49.9,34.4,NA,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
61.7,38.05,34.92,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
49.2,32.5,17.66,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
56.3,34.45,27.82,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
53.65,41.9,20.65,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
43.5,NA,31.32,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
43.65,29.75,27.02,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
49.8,33.7,18.93,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
48.3,34.25,18.17,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
48.8,32.9,22.01,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
41.5,32.5,15.33,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
53.7,41.45,22.09,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
49.2,38.05,15.36,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
44.6,32.05,25.71,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
46.55,34.5,16.05,Conchs,"3 
 iso",present,"Conchs_3 
 iso_b",A
53.7,28.6,19.37,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
7.6,31.2,15.53,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
33.3,19.05,9.01,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
49.7,37.4,19.67,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
49.5,31.1,15.61,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
39.35,27.65,1.3,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
48.25,30.6,13.9,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
46.15,30.4,12.31,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
36.5,32.05,15.58,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
57.4,43.35,23.1,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
42.9,27.8,13.84,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
48.3,34.1,19.96,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
59.9,38.3,30.96,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
44.75,30.55,15.69,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
48.6,33.7,16.54,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
43.8,31.25,15.67,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
47.15,30.4,16.9,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
40.5,27.2,12.18,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
52.3,36.1,16.38,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
36.2,28.05,12.52,Conchs,"3 
 iso",present,"Conchs_3 
 iso_g",A
50.4,32.7,13.01,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
59.8,45.65,29.27,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
46.2,31.15,18.15,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
45.05,28.7,13.91,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
61.5,44.6,34.41,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
53.3,39.65,36.44,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
46.5,33.7,13.54,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
51.75,33.05,25.47,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
46.55,34.3,14.28,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
45.9,34.6,15.04,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
50.35,35.05,21.85,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
49.3,33.1,13.61,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
46.8,29.6,15.63,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
42.15,31.2,13.56,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
53.9,34.15,29.43,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
38.6,26.2,14.55,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
52.8,39.1,15.27,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
43.55,29.75,14.85,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
45.85,28.6,21.86,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
42.1,29.2,9.96,Conchs,"3 
 iso",present,"Conchs_3 
 iso_o",A
45.4,32.05,14.08,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
40.25,21.7,15.11,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
39.35,28.5,12.79,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
41.55,32.6,15.37,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
39.3,27.2,12.22,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
42.1,28.4,10.37,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
50.55,36.4,13.47,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
45.6,33.2,15.67,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
43.35,32.85,12.3,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
44.15,29.05,15.45,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
54.55,38.4,20.42,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
41.35,24.1,11.85,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
39.75,26.3,13.4,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
40.05,29.3,8.98,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
37.2,21.3,9.54,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
50.3,35.65,19.33,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
35.6,25.4,10.42,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
42.6,32.2,13.26,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
47.85,NA,12.82,Conchs,"3 
 iso",present,"Conchs_3 
 iso_p",A
58.1,42.9,25.19,Crabs,1,present,Crabs_1_b,A
58.4,45.55,29.23,Crabs,1,present,Crabs_1_b,A
47.9,33.1,32.99,Crabs,1,present,Crabs_1_b,A
42.2,26.5,NA,Crabs,1,present,Crabs_1_b,A
50.45,38.05,33.64,Crabs,1,present,Crabs_1_b,A
46.45,35.5,NA,Crabs,1,present,Crabs_1_b,A
50.2,36.2,22.82,Crabs,1,present,Crabs_1_b,A
55.9,39.85,25.45,Crabs,1,present,Crabs_1_b,A
46.5,28.7,16.38,Crabs,1,present,Crabs_1_b,A
52.55,36.05,22.61,Crabs,1,present,Crabs_1_b,A
43.9,30.6,19,Crabs,1,present,Crabs_1_b,A
44.45,30.7,14.74,Crabs,1,present,Crabs_1_b,A
46.7,34.3,19.8,Crabs,1,present,Crabs_1_b,A
51.4,37.2,21.31,Crabs,1,present,Crabs_1_b,A
47.65,31.2,15.98,Crabs,1,present,Crabs_1_b,A
47.4,29.05,14.11,Crabs,1,present,Crabs_1_b,A
43.65,35.05,17.04,Crabs,1,present,Crabs_1_b,A
50.05,35.4,14.44,Crabs,1,present,Crabs_1_b,A
47.1,34.05,19.21,Crabs,1,present,Crabs_1_b,A
45.15,28.7,26.06,Crabs,1,present,Crabs_1_g,A
54.05,36.7,19.94,Crabs,1,present,Crabs_1_g,A
63.7,42.3,43.57,Crabs,1,present,Crabs_1_g,A
60.5,43.35,NA,Crabs,1,present,Crabs_1_g,A
59.6,51.3,37.13,Crabs,1,present,Crabs_1_g,A
56.8,36.75,NA,Crabs,1,present,Crabs_1_g,A
66.7,58.85,26.93,Crabs,1,present,Crabs_1_g,A
47.15,30.6,16.72,Crabs,1,present,Crabs_1_g,A
65.2,46.25,27.42,Crabs,1,present,Crabs_1_g,A
51.15,37.25,21.5,Crabs,1,present,Crabs_1_g,A
45.75,31.7,13.18,Crabs,1,present,Crabs_1_g,A
48.2,31.05,NA,Crabs,1,present,Crabs_1_g,A
52.1,31.55,15.53,Crabs,1,present,Crabs_1_g,A
46.7,32.4,21.15,Crabs,1,present,Crabs_1_g,A
54.05,29.6,25.19,Crabs,1,present,Crabs_1_g,A
45.5,31.35,15.41,Crabs,1,present,Crabs_1_g,A
60.9,48.4,31.65,Crabs,1,present,Crabs_1_g,A
43.3,24.7,12.97,Crabs,1,present,Crabs_1_g,A
52.75,32.9,24.77,Crabs,1,present,Crabs_1_g,A
48.2,37.6,20.47,Crabs,1,present,Crabs_1_g,A
48.55,32.6,18.24,Crabs,1,present,Crabs_1_o,A
35.05,23.3,10.3,Crabs,1,present,Crabs_1_o,A
52.6,39.45,38.06,Crabs,1,present,Crabs_1_o,A
61.7,36.5,34.66,Crabs,1,present,Crabs_1_o,A
43.1,36.8,30.35,Crabs,1,present,Crabs_1_o,A
50.85,37.5,34.67,Crabs,1,present,Crabs_1_o,A
58.4,40.3,26.46,Crabs,1,present,Crabs_1_o,A
46.05,39.7,19.39,Crabs,1,present,Crabs_1_o,A
53.4,40.2,21.18,Crabs,1,present,Crabs_1_o,A
50.4,40.25,17.94,Crabs,1,present,Crabs_1_o,A
40.2,32.05,14.73,Crabs,1,present,Crabs_1_o,A
39.85,31.35,14.22,Crabs,1,present,Crabs_1_o,A
44.85,30.35,18.15,Crabs,1,present,Crabs_1_o,A
40.55,28.6,13.14,Crabs,1,present,Crabs_1_o,A
46.8,30.05,17.28,Crabs,1,present,Crabs_1_o,A
45.05,31.05,16.64,Crabs,1,present,Crabs_1_o,A
45.3,34.15,18.17,Crabs,1,present,Crabs_1_o,A
48.05,33.65,15.6,Crabs,1,present,Crabs_1_o,A
49.3,34.8,18.48,Crabs,1,present,Crabs_1_o,A
44.1,24.15,13.54,Crabs,1,present,Crabs_1_o,A
50.5,39.55,17.54,Crabs,1,present,Crabs_1_p,A
60.8,46.4,24.24,Crabs,1,present,Crabs_1_p,A
47.35,35.65,27.19,Crabs,1,present,Crabs_1_p,A
47.05,34.9,NA,Crabs,1,present,Crabs_1_p,A
38.6,28.1,14.93,Crabs,1,present,Crabs_1_p,A
43.6,31.25,11.84,Crabs,1,present,Crabs_1_p,A
53.6,35.3,17.85,Crabs,1,present,Crabs_1_p,A
51.4,32.1,22.63,Crabs,1,present,Crabs_1_p,A
42.1,28.6,16.58,Crabs,1,present,Crabs_1_p,A
52.6,39.8,20.91,Crabs,1,present,Crabs_1_p,A
50.4,36.7,22.4,Crabs,1,present,Crabs_1_p,A
38.9,23.05,8.64,Crabs,1,present,Crabs_1_p,A
52.6,37.5,19.49,Crabs,1,present,Crabs_1_p,A
39.85,26.5,13.19,Crabs,1,present,Crabs_1_p,A
44.3,26.7,16.37,Crabs,1,present,Crabs_1_p,A
51.85,3.7,21.46,Crabs,1,present,Crabs_1_p,A
60.1,42.6,16.98,Crabs,1,present,Crabs_1_p,A
48.9,32.75,18.88,Crabs,1,present,Crabs_1_p,A
51.2,30.2,19.6,Crabs,1,present,Crabs_1_p,A
58.6,40.3,21.75,Crabs,1,present,Crabs_1_p,A
56.8,36.7,20.01,Crabs,6,present,Crabs_6_b,A
52.2,43.8,21.28,Crabs,6,present,Crabs_6_b,A
51.1,41.3,33.67,Crabs,6,present,Crabs_6_b,A
5.3,38.3,NA,Crabs,6,present,Crabs_6_b,A
56.7,45.7,31,Crabs,6,present,Crabs_6_b,A
59.05,426,23.62,Crabs,6,present,Crabs_6_b,A
51.4,32.8,23.21,Crabs,6,present,Crabs_6_b,A
56.5,33.1,28.88,Crabs,6,present,Crabs_6_b,A
44.9,33.6,13.84,Crabs,6,present,Crabs_6_b,A
49.7,30.6,21.95,Crabs,6,present,Crabs_6_b,A
58.6,44.35,21.48,Crabs,6,present,Crabs_6_b,A
55.6,43.4,16.2,Crabs,6,present,Crabs_6_b,A
47.75,33.6,17.86,Crabs,6,present,Crabs_6_b,A
49.7,35.75,18.84,Crabs,6,present,Crabs_6_b,A
55.5,41.3,24.27,Crabs,6,present,Crabs_6_b,A
