"Fish_ID","TL","Date_age","Adj_date","days","age_corr"
"B106",42.00,7-2-2012 00:00:00,7-5-2011 00:00:00,276,2.75
"B107",42.00,7-2-2012 00:00:00,7-5-2011 00:00:00,276,1.75
"B110",42.00,7-2-2012 00:00:00,7-5-2011 00:00:00,276,1.75
"B111",37.00,7-2-2012 00:00:00,7-5-2011 00:00:00,276,1.75
"B112",35.00,7-2-2012 00:00:00,7-5-2011 00:00:00,276,1.75
"B113",32.00,7-2-2012 00:00:00,7-5-2011 00:00:00,276,1.75
"B114",38.00,2-2-2012 00:00:00,2-5-2011 00:00:00,276,1.75
"B115",37.50,2-2-2012 00:00:00,2-5-2011 00:00:00,276,1.75
"B116",45.00,2-2-2012 00:00:00,2-5-2011 00:00:00,276,1.75
"B117",39.00,2-2-2012 00:00:00,2-5-2011 00:00:00,276,1.75
"B119",60.00,12-2-2012 00:00:00,12-5-2011 00:00:00,276,3.75
"B120",41.00,12-2-2012 00:00:00,12-5-2011 00:00:00,276,2.75
"B121",37.00,12-2-2012 00:00:00,12-5-2011 00:00:00,276,1.75
"B122",36.00,12-2-2012 00:00:00,12-5-2011 00:00:00,276,1.75
"B123",69.00,14-2-2012 00:00:00,14-5-2011 00:00:00,276,3.75
"B125",35.00,5-3-2012 00:00:00,5-6-2011 00:00:00,274,1.75
"B126",40.00,5-3-2012 00:00:00,5-6-2011 00:00:00,274,1.75
"B129",53.00,5-3-2012 00:00:00,5-6-2011 00:00:00,274,2.75
"B130",62.00,5-3-2012 00:00:00,5-6-2011 00:00:00,274,3.75
"B137",31.00,26-2-2012 00:00:00,26-5-2011 00:00:00,276,1.75
"B141",65.00,26-2-2012 00:00:00,26-5-2011 00:00:00,276,5.75
"B142",62.00,26-2-2012 00:00:00,26-5-2011 00:00:00,276,3.75
"B144",21.00,3-3-2012 00:00:00,3-6-2011 00:00:00,274,1.55
"B145",20.00,3-3-2012 00:00:00,3-6-2011 00:00:00,274,1.75
"B148",32.00,3-3-2012 00:00:00,3-6-2011 00:00:00,274,1.75
"B150",36.00,3-3-2012 00:00:00,3-6-2011 00:00:00,274,2.75
"B151",38.00,3-3-2012 00:00:00,3-6-2011 00:00:00,274,1.75
"B152",49.50,30-9-2012 00:00:00,30-12-2011 00:00:00,275,3.75
"B153",41.00,30-9-2012 00:00:00,30-12-2011 00:00:00,275,3.75
"B154",50.00,30-9-2012 00:00:00,30-12-2011 00:00:00,275,3.75
"B155",42.00,30-9-2012 00:00:00,30-12-2011 00:00:00,275,2.75
"B157",48.00,30-9-2012 00:00:00,30-12-2011 00:00:00,275,2.75
"B158",51.00,30-9-2012 00:00:00,30-12-2011 00:00:00,275,3.75
"B159",47.00,30-9-2012 00:00:00,30-12-2011 00:00:00,275,3.75
"B160",49.00,30-9-2012 00:00:00,30-12-2011 00:00:00,275,2.75
"B162",69.00,30-9-2012 00:00:00,30-12-2011 00:00:00,275,5.75
"B163",44.00,30-9-2012 00:00:00,30-12-2011 00:00:00,275,3.75
"B164",49.50,30-9-2012 00:00:00,30-12-2011 00:00:00,275,3.75
"B166",55.00,17-10-2012 00:00:00,17-1-2012 00:00:00,274,4.75
"B167",53.00,17-10-2012 00:00:00,17-1-2012 00:00:00,274,4.75
"B169",53.00,17-10-2012 00:00:00,17-1-2012 00:00:00,274,4.75
"B172",45.00,17-10-2012 00:00:00,17-1-2012 00:00:00,274,3.75
"B173",54.00,17-10-2012 00:00:00,17-1-2012 00:00:00,274,3.75
"B174",45.00,17-10-2012 00:00:00,17-1-2012 00:00:00,274,2.75
"B178",36.00,17-10-2012 00:00:00,17-1-2012 00:00:00,274,1.75
"B179",55.00,17-10-2012 00:00:00,17-1-2012 00:00:00,274,4.75
"B181",66.00,17-10-2012 00:00:00,17-1-2012 00:00:00,274,6.75
"B182",54.00,17-10-2012 00:00:00,17-1-2012 00:00:00,274,5.75
"B183",78.00,17-10-2012 00:00:00,17-1-2012 00:00:00,274,6.75
"B184",56.00,17-10-2012 00:00:00,17-1-2012 00:00:00,274,3.75
"B185",49.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,4.75
"B186",61.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,5.75
"B187",53.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,4.75
"B188",48.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,3.75
"B189",47.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,2.75
"B191",64.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,5.75
"B192",37.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,1.75
"B193",49.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,2.75
"B195",48.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,3.75
"B200",39.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,1.75
"B201",44.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,3.75
"B202",46.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,3.75
"B203",52.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,4.75
"B204",46.00,28-11-2012 00:00:00,28-2-2012 00:00:00,274,3.75
"B206",44.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,3.75
"B207",55.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,5.75
"B208",61.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,5.75
"B210",37.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,1.75
"B212",41.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,2.75
"B213",39.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,2.75
"B214",45.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,2.75
"B215",46.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,3.75
"B216",47.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,3.75
"B217",53.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,3.75
"B218",53.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,4.75
"B219",54.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,4.75
"B220",40.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,2.75
"B222",45.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,3.75
"B223",47.00,14-11-2012 00:00:00,14-2-2012 00:00:00,274,3.75
"B224",47.00,13-12-2012 00:00:00,13-3-2012 00:00:00,275,3.75
"B225",44.00,13-12-2012 00:00:00,13-3-2012 00:00:00,275,3.75
"B226",51.00,13-12-2012 00:00:00,13-3-2012 00:00:00,275,3.75
"B229",75.00,13-12-2012 00:00:00,13-3-2012 00:00:00,275,6.75
"B232",40.00,13-12-2012 00:00:00,13-3-2012 00:00:00,275,2.75
"B236",55.00,13-12-2012 00:00:00,13-3-2012 00:00:00,275,3.75
"B237",49.00,13-12-2012 00:00:00,13-3-2012 00:00:00,275,4.75
"B238",68.00,13-12-2012 00:00:00,13-3-2012 00:00:00,275,6.75
"B240",46.00,30-12-2012 00:00:00,30-3-2012 00:00:00,275,2.75
"B242",48.00,13-12-2012 00:00:00,13-3-2012 00:00:00,275,3.75
"B246",66.00,13-12-2012 00:00:00,13-3-2012 00:00:00,275,5.75
"B247",43.00,28-12-2012 00:00:00,28-3-2012 00:00:00,275,2.75
"B248",37.00,28-12-2012 00:00:00,28-3-2012 00:00:00,275,2.75
"B249",34.00,28-12-2012 00:00:00,28-3-2012 00:00:00,275,2.75
"B252",32.00,28-12-2012 00:00:00,28-3-2012 00:00:00,275,1.75
"B253",43.00,28-12-2012 00:00:00,28-3-2012 00:00:00,275,2.75
"B254",51.00,28-12-2012 00:00:00,28-3-2012 00:00:00,275,3.75
"B256",43.00,28-12-2012 00:00:00,28-3-2012 00:00:00,275,3.75
"B257",41.00,28-12-2012 00:00:00,28-3-2012 00:00:00,275,3.75
"B258",42.00,30-12-2012 00:00:00,30-3-2012 00:00:00,275,2.75
"B260",52.00,28-12-2012 00:00:00,28-3-2012 00:00:00,275,3.75
"B262",52.00,25-2-2012 00:00:00,25-5-2011 00:00:00,276,3.75
"B263",70.00,25-2-2012 00:00:00,25-5-2011 00:00:00,276,5.75
"B264",59.00,25-2-2012 00:00:00,25-5-2011 00:00:00,276,4.75
"B266",61.00,25-2-2012 00:00:00,25-5-2011 00:00:00,276,4.75
"B268",75.00,25-2-2012 00:00:00,25-5-2011 00:00:00,276,6.75
"B269",45.00,25-2-2012 00:00:00,25-5-2011 00:00:00,276,3.75
"B270",52.00,25-2-2012 00:00:00,25-5-2011 00:00:00,276,4.75
"B271",45.00,25-2-2012 00:00:00,25-5-2011 00:00:00,276,2.75
"B272",62.00,30-12-2012 00:00:00,30-3-2012 00:00:00,275,4.75
"B273",50.00,30-12-2012 00:00:00,30-3-2012 00:00:00,275,3.75
"B275",34.00,25-2-2012 00:00:00,25-5-2011 00:00:00,276,1.75
"B276",42.00,30-12-2012 00:00:00,30-3-2012 00:00:00,275,2.75
"B279",32.00,25-2-2012 00:00:00,25-5-2011 00:00:00,276,1.75
"B280",45.00,30-12-2012 00:00:00,30-3-2012 00:00:00,275,2.75
"B283",40.00,25-2-2012 00:00:00,25-5-2011 00:00:00,276,2.75
"B284",37.00,30-12-2012 00:00:00,30-3-2012 00:00:00,275,1.75
"B290",52.00,25-2-2012 00:00:00,25-5-2011 00:00:00,276,3.75
"B295",70.00,27-3-2012 00:00:00,27-6-2011 00:00:00,274,6.75
"B296",50.00,27-3-2012 00:00:00,27-6-2011 00:00:00,274,3.75
"B297",51.00,27-3-2012 00:00:00,27-6-2011 00:00:00,274,3.75
"B299",70.00,27-3-2012 00:00:00,27-6-2011 00:00:00,274,6.75
"B301",47.00,27-3-2012 00:00:00,27-6-2011 00:00:00,274,3.75
"B306",52.00,27-3-2012 00:00:00,27-6-2011 00:00:00,274,3.75
"B308",100.10,22-4-2012 00:00:00,22-7-2011 00:00:00,275,21.75
"B309",98.00,22-4-2012 00:00:00,22-7-2011 00:00:00,275,17.75
"B310",84.00,22-4-2012 00:00:00,22-7-2011 00:00:00,275,11.75
"B314",41.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,2.75
"B316",51.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,4.75
"B323",47.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,2.75
"B325",38.50,25-4-2012 00:00:00,25-7-2011 00:00:00,275,1.75
"B326",42.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,2.75
"B328",49.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,3.75
"B329",48.50,25-4-2012 00:00:00,25-7-2011 00:00:00,275,2.75
"B330",49.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,2.75
"B332",44.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,2.75
"B334",62.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,4.75
"B335",41.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,2.75
"B336",57.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,4.75
"B337",66.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,4.75
"B338",51.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,3.75
"B339",42.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,2.75
"B340",45.00,25-4-2012 00:00:00,25-7-2011 00:00:00,275,3.75
