Dataset,nest.ID,age,burned,FirstFound.Date,LastPresent.Date,LastChecked.Date,fate
Before,2009-L-100-08-U-N1,Adult,1,5/1/2009,5/18/2009,5/22/2009,1
Before,2009-L-108-08-U-N1,Adult,0,4/10/2009,4/26/2009,4/26/2009,1
Before,2009-L-110-08-U-N1,Adult,0,5/13/2009,5/20/2009,5/20/2009,1
Before,2009-L-116-08-U-N1,Adult,0,5/26/2009,6/11/2009,6/11/2009,1
Before,2009-L-121-08-U-N1,Adult,0,4/27/2009,5/13/2009,5/13/2009,1
Before,2009-L-123-08-U-N1,Adult,1,4/23/2009,5/18/2009,5/18/2009,1
Before,2009-L-142-09-U-N1,Yearling,1,4/30/2009,5/18/2009,5/18/2009,1
Before,2009-L-145-09-U-N1,Adult,0,6/3/2009,6/10/2009,6/10/2009,1
Before,2009-L-153-09-U-N1,Yearling,1,4/11/2009,4/23/2009,4/27/2009,0
Before,2009-L-155-09-U-N1,Yearling,1,4/15/2009,4/21/2008,5/2/2009,0
Before,2009-L-158-09-U-N1,Yearling,1,4/29/2009,5/8/2009,5/8/2009,1
Before,2009-L-171-09-U-N1,Adult,0,4/19/2009,5/4/2009,5/14/2009,0
Before,2009-L-171-09-U-N2,Adult,0,5/14/2009,5/14/2009,5/29/2009,0
Before,2009-L-172-09-U-N1,Yearling,0,4/15/2009,4/15/2009,4/22/2009,0
Before,2009-L-172-09-U-N2,Yearling,0,5/14/2009,5/14/2009,5/29/2009,0
Before,2009-L-173-09-U-N1,Adult,0,4/11/2009,5/12/2009,5/12/2009,1
Before,2009-L-184-09-U-N1,Adult,0,4/11/2009,4/28/2009,5/4/2009,0
Before,2009-L-192-09-U-N1,Adult,0,4/29/2009,5/15/2009,5/15/2009,1
Before,2009-L-193-09-U-N1,Yearling,1,5/6/2009,5/12/2009,5/17/2009,0
Before,2009-L-20-07-U-N1,Adult,1,4/11/2009,5/8/2009,5/8/2009,1
Before,2009-L-60-07-U-N1,Adult,0,4/19/2009,4/27/2009,5/4/2009,0
Before,2009-L-63-07-U-N2,Adult,1,5/12/2009,6/1/2009,6/8/2009,1
Before,2009-L-64-07-U-N1,Adult,1,4/11/2009,5/1/2009,5/1/2009,1
Before,2009-L-89-08-U-N1,Adult,0,4/10/2009,4/28/2009,4/28/2009,1
Before,2009-L-90-08-U-N1,Adult,1,4/20/2009,5/29/2009,5/29/2009,1
Before,2009-L-98-08-U-N1,Adult,1,4/10/2009,5/4/2009,5/4/2009,1
Before,2009-L-63-07-U-N1,Adult,1,4/17/2009,4/17/2009,4/21/2009,1
Before,2009-L-177-09-U-N1,Yearling,1,4/23/2009,4/23/2009,4/27/2009,1
