LTER,Site,Species,MSE,b,coef_int,coef_slope,Pr_int,Pr_slope,logLik,length,Y1,Y2,Feeding,Habitat,Pollinator,Order
Baltimore,mosquito,aeae,0.811674873,0.99999691,1.760900194,-2.878489084,0.996428358,0.291162827,3.17923201,5,2011,2015,parasite,terrestrial ,n,Diptera
Baltimore,mosquito,aeal,0.031805675,-0.663413464,-1.225509302,3.164566706,0.001274177,0.000744402,5.82273806,5,2011,2015,parasite,terrestrial ,n,Diptera
Baltimore,mosquito,aeci,1.249997833,0.999998267,1.788851475,-2.795084972,0.997810165,0.391001502,2.531538185,5,2011,2015,parasite,terrestrial ,n,Diptera
BonanzaCreek,bark beetle,Spruce.Beetle,0.462300716,0.640756251,0.877806389,-1.846200849,0.114948759,0.064729517,31.25847529,36,1975,2012,herbivore,terrestrial,n,Coleoptera
BonanzaCreek,bark beetle,Ips.Beetle,0.597755252,0.734323397,0.199227966,-0.260310825,0.801737001,0.851329039,27.27033587,36,1975,2012,herbivore,terrestrial,n,Coleoptera
BonanzaCreek,bark beetle,Larch.Beetle,0.368580221,0.846873775,0.548832525,-1.119633754,0.559111578,0.47523858,36.09424889,36,1975,2012,herbivore,terrestrial,n,Coleoptera
BonanzaCreek,leafminer,Phyllocnistis populiella,0.721932421,0.592381161,0.579402934,-1.373360278,0.526088406,0.388058028,8.209725921,12,2004,2015,herbivore,terrestrial,n,Lepidoptera
CedarCreek,sweep1,Melanoplus femurrubrum,2.38215243,0.999994814,0.22832848,1.284394384,0.999663102,0.753088857,1.029999187,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Phoetaliotes nebrascensis,1.133654211,0.420671921,-0.579828152,1.882233249,0.655872869,0.468248028,1.22463391,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Conocephalus saltans,0.002578114,-0.993037417,1.306814555,-3.457360868,0.000551962,0.000432399,3.991495061,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Conocephalus brevipennis,1.723828453,0.259687602,0.550656912,-1.224744894,0.701822183,0.673618936,0.65555551,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Conocephalus undet,0.207723323,-0.278263328,-1.07126841,2.935933123,0.088720452,0.0611383,2.224296204,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Geocoris undet,2.213489999,0.999997531,0.154292689,1.57177313,0.999837061,0.692228978,1.103435911,4,2003,2006,omnivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Collaria meilleurii,1.265441451,-0.159646626,0.014596323,0.076292571,0.988305033,0.972120135,0.549085224,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Delphacodes undet,0.644389863,-0.601371711,-0.388588968,0.75404838,0.548124028,0.60550334,0.652433103,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Bruchomorpha nasuta,0.010387572,-0.98915282,-1.199785693,3.254404132,0.002635574,0.001965089,2.821120541,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Philaenus(Philaenarcys) bilineatus,1.873161405,0.999985404,-1.145070354,1.743447814,0.9968036,0.636622794,1.270366644,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Empoasca fabae,0.002901906,-0.997636797,-1.161613711,3.068371585,0.000784129,0.000616517,3.331144255,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Typhlocyba undet,0.078702667,-0.957121126,-0.628820613,1.529640389,0.06687721,0.062221548,1.495713038,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Diplocolenus configuratus,0.010612351,-0.988810648,-1.243122552,3.259442268,0.002509075,0.0020016,2.815373045,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Doratura stylata,0.022431563,-0.981553204,-1.110773091,3.042330256,0.006626949,0.004850848,2.319693263,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Laevicephalus unicoloratus,0.038582132,-0.97215066,-1.104580863,2.841121443,0.011498988,0.00953873,1.986975644,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Quantas sayi?,0.053977056,-0.915662066,-1.195600504,3.305729352,0.014098325,0.010097523,2.227273763,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Deltocephalus undet,2.78E-08,-0.999999963,1.80E-08,-4.81E-08,0.999873249,0.999855687,9.355241721,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Aphalara undet,2.205028955,0.999993473,0.215041612,-2.223992369,0.999630016,0.583162084,1.107261667,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Rogas undet,0.298131546,-0.828178834,-0.303744557,1.063497412,0.471960655,0.316063442,0.908851096,4,2003,2006,carnivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Tetrastichus undet,0.678047778,0.999992782,1.462555641,-2.981287399,0.995228298,0.257470336,2.286539142,4,2003,2006,parasitoid ,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Myrmica emeryana,0.005179079,-0.98862207,-1.278082906,3.447022246,0.001160882,0.000874959,3.541193642,4,2003,2006,omnivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Camponotus pennsylvanica,1.333322135,0.999991601,1.499991601,-2.666666667,0.996235389,0.422647306,1.610326762,4,2003,2006,omnivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Crambus undet,1.015402234,0.045194077,-0.663717709,1.800623373,0.520920841,0.427425621,0.979017102,4,2003,2006,herbivore,terrestrial,y,Lepidoptera
CedarCreek,sweep1,Condylostylus undet,0.034107709,-0.981580801,-0.460294857,1.32643418,0.054469753,0.036933727,1.899879609,4,2003,2006,omnivore,terrestrial,n,Diptera
CedarCreek,sweep1,Chamaemyia undet,0.028835706,-0.983301045,-0.27044442,0.630041337,0.11955871,0.12047058,2.018099204,4,2003,2006,carnivore,terrestrial,n,Diptera
CedarCreek,sweep1,Pseudodinia undet,2.270261542,0.999994236,-0.203556069,-1.434175374,0.999675642,0.720199715,1.078108029,4,2003,2006,carnivore,terrestrial,n,Diptera
CedarCreek,sweep1,Oscinella undet,0.09250421,-0.82952795,-1.162755289,3.242090247,0.02628768,0.018458473,2.07464907,4,2003,2006,omnivore,terrestrial,n,Diptera
CedarCreek,sweep1,Incertella? undet,0.003372569,-0.993798999,-1.277216626,3.437358881,0.00075537,0.000571936,3.664664416,4,2003,2006,herbivore,terrestrial,n,Diptera
CedarCreek,sweep1,Malloweia? undet,0.023481552,-0.965293438,-1.229073467,3.358515748,0.005723056,0.004200785,2.596271639,4,2003,2006,omnivore,terrestrial,n,Diptera
CedarCreek,sweep1,Diplotoxa versicolor,0.176894076,-0.900051591,-0.701764641,1.661794741,0.114848424,0.111861558,1.131339751,4,2003,2006,herbivore,terrestrial,n,Diptera
CedarCreek,sweep1,Hylemya undet,0.961658982,0.361560154,-0.865413608,2.046613872,0.474120064,0.398663196,1.334346851,4,2003,2006,herbivore,terrestrial,n,Diptera
CedarCreek,sweep1,Phaonia undet,2.79174589,0.999992348,-0.31458432,-1.269242686,0.999479178,0.773455998,0.871334015,4,2003,2006,detritivore,terrestrial,n,Diptera
CedarCreek,sweep1,Araneus pratense,0.00137142,-0.998813421,-1.167205069,3.13268496,0.000367034,0.000279518,3.735739852,4,2003,2006,carnivore,terrestrial,n,Araneae
CedarCreek,sweep1,Metaphidippus undet,0.204799412,-0.7468532,-1.039344237,2.963852015,0.07108204,0.048438681,1.511066471,4,2003,2006,carnivore,terrestrial,n,Araneae
CedarCreek,sweep1,Protenor belfragei,0.001745868,-0.998741311,-1.082617224,2.909699521,0.000542992,0.000412397,3.523860885,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Phlegyas abbreviatus,0.12143217,-0.206791696,-1.147678561,3.014741758,0.050638926,0.036498564,2.841686984,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Nabis americoferus,1.034258676,-0.310882545,-0.373167893,0.799028771,0.670111326,0.682155729,0.580944925,4,2003,2006,carnivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Lygus lineolaris,0.20571515,-0.876704719,-0.835207162,2.006183319,0.098253044,0.093113421,1.094597804,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Athysanus argentarius,0.078130908,-0.936060732,-1.046110857,2.933593871,0.025890805,0.018167634,1.71099963,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Commellus comma,0.038954205,-0.97276987,-1.005465769,2.786227808,0.01395472,0.01000415,1.965895402,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Endria inimica,0.420541929,-0.203765387,-0.915804694,2.358223794,0.208696101,0.16596351,1.602828459,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Chauliognathus pennsylvanicus,0.375539928,-0.729903575,0.228796987,-0.354888299,0.623954423,0.736985181,0.94408764,4,2003,2006,herbivore,terrestrial,y,Coleoptera
CedarCreek,sweep1,Diprion simile,0.361498263,-0.775783688,-0.032064362,0.349456798,0.941365129,0.733527646,0.870364061,4,2003,2006,herbivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Pristocera armifera,0.19543112,-0.79103224,1.022683793,-2.924504611,0.06859501,0.046665802,1.44401287,4,2003,2006,parasitoid,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Leptothorax ambiguum,0.469549688,0.999998167,-1.345953154,2.741925181,0.99734049,0.225292744,2.653988156,4,2003,2006,omnivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Proformica neogagates,0.012805363,-0.974597475,-1.261004215,3.422965902,0.002962578,0.002203006,3.042971616,4,2003,2006,detritivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Hylaeus undet,0.177968473,-0.889032241,-0.180051755,0.272102924,0.563514341,0.699811343,1.181929846,4,2003,2006,herbivore,terrestrial,y,Hymenoptera
CedarCreek,sweep1,Dialictus undet,0.983826155,-0.344368936,0.413282528,-0.89176028,0.627472801,0.639321544,0.590774226,4,2003,2006,parasitoid,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Villa lateralis,2.78E-08,-0.999999963,1.80E-08,-4.81E-08,0.999873249,0.999855687,9.355241721,4,2003,2006,herbivore,terrestrial,y,Diptera
CedarCreek,sweep1,Chrysotus undet,0.395605691,-0.664130496,-0.816946513,2.419809233,0.189254176,0.127693489,1.028251639,4,2003,2006,carnivore,terrestrial,n,Diptera
CedarCreek,sweep1,Euaresta bella,0.254787402,-0.843165296,-0.664547545,2.01009798,0.171812959,0.112772633,1.014322763,4,2003,2006,herbivore,terrestrial,n,Diptera
CedarCreek,sweep1,Incertella undet,1.286381078,0.999991718,-0.353109823,2.150615805,0.999104018,0.497904484,1.646167642,4,2003,2006,herbivore,terrestrial,n,Diptera
CedarCreek,sweep1,Thaumatomyia glabra,2.275412155,0.999997941,-0.200045926,-1.402621403,0.999809699,0.726175746,1.075845572,4,2003,2006,carnivore,terrestrial,n,Diptera
CedarCreek,sweep1,Tetragnatha undet,0.569992828,-0.089898523,-0.895262639,2.431630806,0.279111039,0.206938629,1.42012587,4,2003,2006,carnivore,terrestrial,n,Araneae
CedarCreek,sweep1,Tibellus undet,0.079351737,-0.281249145,-1.13465902,3.075211999,0.032985414,0.022589134,3.183162078,4,2003,2006,carnivore,terrestrial,n,Araneae
CedarCreek,sweep1,Adelphocoris lineolatus,0.298131546,-0.828178834,-0.493878502,1.063497412,0.289030713,0.316063442,0.908851096,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Stenodema vicinum,0.04360289,-0.976043686,-0.443352011,1.070885931,0.073047002,0.068988134,1.787843361,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Bruchomorpha tristis,0.000719789,-0.99941282,-1.158365134,3.074377018,0.000195577,0.000152312,4.028403892,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Nesosteles neglectus,0.000350063,-0.99974351,-1.097654899,2.937261954,0.000105926,8.11E-05,4.335000854,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Macrosteles fascifrons,0.004099325,-0.996802178,-0.160725909,0.463360846,0.053356514,0.036177086,3.137237765,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Scleroraccus osborni,0.774606952,-0.396638639,-0.570178378,1.733073182,0.463799526,0.348991325,0.764787306,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Chrysopa undet,0.188585854,-0.892340741,-0.416280469,0.895256515,0.262941511,0.290575757,1.107540633,4,2003,2006,omnivore,terrestrial,n,Neuroptera
CedarCreek,sweep1,Mordellistena undet,0.041229989,-0.97468992,-0.888194234,2.476705177,0.018769695,0.013321904,1.871811051,4,2003,2006,herbivore,terrestrial,n,Coleoptera
CedarCreek,sweep1,Diabrotica barberi,0.151019937,-0.915896174,-0.516263896,1.180186285,0.164392365,0.16956384,1.196939108,4,2003,2006,herbivore,terrestrial,n,Coleoptera
CedarCreek,sweep1,Rhinoncus pyrrhopus,0.322397088,-0.792469947,-0.666502612,2.031208232,0.207613225,0.137021404,0.939403016,4,2003,2006,herbivore,terrestrial,n,Coleoptera
CedarCreek,sweep1,Monomorium minimum,0.144930615,-0.151058391,-1.102228999,2.976245042,0.066599138,0.045301522,2.725194072,4,2003,2006,omnivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Prenolepis imparis,0.444846976,-0.734548075,-0.347981317,1.20727306,0.506187566,0.351033221,0.764142114,4,2003,2006,omnivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Anthomyza undet,0.251638657,-0.81425169,-0.84449058,2.481531391,0.117712464,0.078447201,1.122958714,4,2003,2006,herbivore,terrestrial,n,Diptera
CedarCreek,sweep1,Spharagemon collare,2.999985389,0.99999513,0.866016968,-6.60E-18,0.998896584,1,0.799396546,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Tiphia undet,1.859120602,0.999994596,0.020637068,-1.868199555,0.999964814,0.613141503,1.277899849,4,2003,2006,herbivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Neoconocephalus ensiger,2.545445089,0.999996285,0.261110664,1.392621248,0.999684556,0.741800439,0.963699597,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Conocephalus fasciatus,1.333321842,0.999991382,1.499991382,-2.666666667,0.996186472,0.422647243,1.610326762,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Coccinella septempunctata,0.36283711,0.999997691,1.286020493,-2.77155997,0.996756103,0.184546129,2.911807803,4,2003,2006,carnivore,terrestrial,n,Coleoptera
CedarCreek,sweep1,Phidippus undet,0.127591386,-0.770544402,0.660461355,-1.917131507,0.102643883,0.069029148,1.92546788,4,2003,2006,carnivore,terrestrial,n,Araneae
CedarCreek,sweep1,Melanoplus keeleri-luridus,1.095372244,0.413560485,-0.598977438,1.921263369,0.638983125,0.453130578,1.252399101,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Melanoplus punctulatus,1.333322135,0.999991601,1.499991601,-2.666666667,0.996235389,0.422647306,1.610326762,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Osbornellus undet,0.821091673,-0.435781652,-0.589454162,1.333333313,0.457293203,0.456860537,0.65555551,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Spilochalcis undet,0.122863375,-0.795213123,-1.248621801,3.172473163,0.030658124,0.025713783,1.896351014,4,2003,2006,parasitoid,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Paratrechina parvula,0.007493675,-0.97818274,-1.273863688,3.443230883,0.001698859,0.001273838,3.501313417,4,2003,2006,omnivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Holomelina aurantiaca,6.94E-09,-0.999999963,1.299038097,-3.464101591,1.50E-09,1.16E-09,10.74153608,4,2003,2006,herbivore,terrestrial,y,Lepidoptera
CedarCreek,sweep1,Dolichopus undet,2.717223183,0.999996529,-1.081154934,0.930079275,0.998778136,0.829761738,0.898394894,4,2003,2006,carnivore,terrestrial,n,Diptera
CedarCreek,sweep1,Leptocera undet,2.271413561,0.999991567,-1.177331239,1.400926479,0.997731442,0.726258843,1.077598049,4,2003,2006,detritivore,terrestrial,n,Diptera
CedarCreek,sweep1,Curtonotus helvum,1.750132769,0.999997347,0.082429214,-1.84538253,0.999898504,0.607218653,1.338314528,4,2003,2006,herbivore,terrestrial,Y,Diptera
CedarCreek,sweep1,Coenosia undet,3.660644983,0.999982375,-0.593336724,-0.262537109,0.998698096,0.95802251,0.600351853,4,2003,2006,carnivore,terrestrial,n,Diptera
CedarCreek,sweep1,Chlorotettix undet,0.017817671,-0.990334392,-0.670489415,1.860044552,0.014214961,0.010185841,2.223417816,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Apanteles undet,2.315781968,0.999995432,0.078076527,-2.00644658,0.999890339,0.625648916,1.058256852,4,2003,2006,parasitoid,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Medeterus undet,0.017521599,-0.985580369,-1.171311702,3.05231291,0.004659034,0.003763839,2.442019847,4,2003,2006,carnivore,terrestrial,n,Diptera
CedarCreek,sweep1,Misumenops undet,0.057127451,0.999994641,-1.030804182,3.067472035,0.990016352,0.030887926,4.760474,4,2003,2006,carnivore,terrestrial,n,Araneae
CedarCreek,sweep1,Trigonotylus coelestialium,2.048860975,0.99999526,1.437086216,-2.014485478,0.997814294,0.604261318,1.180720078,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Aceratagallia sanguinolenta,0.139664938,-0.920742452,-0.622345559,1.849415591,0.114147233,0.075156933,1.243526404,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Chelonus(s.str.) undet,3.360776098,0.999993141,-0.754708418,3.77E-11,0.998921799,1,0.685830046,4,2003,2006,omnivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Macroteleia undet,2.599791519,0.999994924,0.303662908,1.30671339,0.9995757,0.759163551,0.942572502,4,2003,2006,parasitoid,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Lasius neoniger,0.037095417,-0.91835256,-1.300827555,3.37125671,0.008245954,0.006698772,2.585071608,4,2003,2006,carnivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Augochlorella striata,3.12E-08,-0.999999963,-0.918558634,2.449489692,1.35E-08,1.04E-08,9.237458686,4,2003,2006,herbivore,terrestrial,y,Hymenoptera
CedarCreek,sweep1,Nemobius undet,0.778069301,0.716392443,-0.683921367,2.349647411,0.640308235,0.340807295,1.875509226,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Liburniella ornata,0.485426359,-0.706669834,-0.357489458,1.235457997,0.515406101,0.361183137,0.738258634,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Scolops sulcipes,0.0006622,-0.999576883,-1.007895657,2.673719336,0.000237628,0.000185245,3.947889202,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Lepyronia gibbosa,0.223076706,-0.822543801,-0.907820562,2.638871418,0.093653643,0.062849985,1.217267686,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Dorycephalus? platyrhynchus,0.018031198,-0.92785993,-1.299077096,3.395555152,0.004023944,0.003213054,3.240830842,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Hippodamia parenthesis,0.002412505,-0.997419557,-1.221184805,3.283171365,0.000590078,0.000447826,3.559901655,4,2003,2006,carnivore,terrestrial,n,Coleoptera
CedarCreek,sweep1,Amphicnephes pullus,0.02505845,-0.975046775,-1.230724612,3.197563982,0.006056386,0.004919061,2.362527674,4,2003,2006,herbivore,terrestrial,n,Diptera
CedarCreek,sweep1,Xysticus undet,1.733549195,0.999994041,-0.211378926,1.840460237,0.999608082,0.606523898,1.347832011,4,2003,2006,carnivore,terrestrial,n,Araneae
CedarCreek,sweep1,Stictopleurus punctiventris,1.497735964,0.343148994,-0.618373021,1.341397529,0.662796844,0.630903531,0.874174128,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Nabicula subcoleoptrata,0.047558999,-0.95336705,-1.136626901,3.145067215,0.01348069,0.009672918,2.042845063,4,2003,2006,carnivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Scaphytopius acutus,0.049171323,-0.904512238,-1.293783987,3.339132914,0.011085132,0.009074159,2.386993512,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Exitianus exitiosus,1.372554173,0.999997141,-0.258408845,2.247686525,0.999627058,0.49349511,1.581332611,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Pachybrachis undet,0.004304751,-0.994254872,-1.250908526,3.371298816,0.001004517,0.000758545,3.382264705,4,2003,2006,herbivore,terrestrial,n,Coleoptera
CedarCreek,sweep1,Formica fusca,3.308852742,0.999991541,1.044699248,-0.685461914,0.998329679,0.885380252,0.70139885,4,2003,2006,omnivore,terrestrial,n,Hymenoptera
CedarCreek,sweep1,Mesograpta undet,1.854296927,0.234311198,-0.110121031,0.0672702,0.939031363,0.981598305,0.558706344,4,2003,2006,herbivore,terrestrial,n,Diptera
CedarCreek,sweep1,Oecanthus undet,0.04694261,-0.949612549,-1.157507768,3.199633498,0.012868086,0.009245945,2.096071076,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Ligyrocoris diffusus,2.767736485,0.999998098,1.198116283,-0.995474024,0.999006729,0.819787802,0.8799771,4,2003,2006,omnivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Chlamydatus associatus,1.798542312,0.999995013,-0.043669663,1.888614711,0.999927284,0.60404981,1.311027338,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Meromyza americana,0.041338797,-0.973460044,-0.935139853,2.601921834,0.017033504,0.012130905,1.893376651,4,2003,2006,carnivore,terrestrial,n,Diptera
CedarCreek,sweep1,Conocephalus strictus,2.641343318,0.999994488,0.365361252,1.002176587,0.999472185,0.814470933,0.926715702,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Corythucha marmorata,0.116834662,-0.896521694,-1.166217027,2.940153388,0.031548967,0.027146131,1.564878068,4,2003,2006,herbivore,terrestrial,n,Hemiptera
CedarCreek,sweep1,Archips undet,0.001013958,-0.999439858,-0.361766797,0.947386592,0.002813533,0.002252334,3.662163596,4,2003,2006,herbivore,terrestrial,y,Lepidoptera
CedarCreek,sweep1,Melanoplus bivittatus,0.084919726,-0.484068553,-1.206663145,3.133385746,0.027474506,0.021179225,2.858511311,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Colaspis suilla-borealis,0.485426359,-0.706669834,-0.357489458,1.235457997,0.515406101,0.361183137,0.738258634,4,2003,2006,herbivore,terrestrial,n,Coleoptera
CedarCreek,sweep1,Paroxyna albiceps,0.288677643,-0.728052325,1.091626071,-2.687714253,0.08911875,0.079615499,1.211317972,4,2003,2006,herbivore,terrestrial,n,Diptera
CedarCreek,sweep1,Orphulella speciosa,0.036080927,-0.895487865,-1.227748662,3.368242102,0.009104424,0.006594833,2.745252292,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Pardalophora apiculata,0.473347887,-0.319581438,-0.810841312,2.026133294,0.252361847,0.216912643,1.352226594,4,2003,2006,herbivore,terrestrial,n,Orthoptera
CedarCreek,sweep1,Flexamia undet,0.82109166,-0.435781664,0.410545826,-1.333333327,0.589615454,0.456860529,0.65555551,4,2003,2006,herbivore,terrestrial,n,Hemiptera
