Age (days),AQF1.Slow.Starved,AQF1.Fast.Starved,Wild.Fast.Starved,Wild.Slow.Starved,AQF1.Slow.Fed,AQF1.Fast.Fed,Wild.Fast.Fed,Wild.Slow.Fed
14,70.16,117.97,112.64,88.14,224.76,191.37,117.63,296.09
14,85.28,85.04,114.05,92.22,237.04,137.77,149.38,174.4
14,94.96,112.33,122.38,96.01,275.32,112.5,145.36,108.37
14,99.86,104.76,96.9,88.21,145.07,116.35,145.84,169.85
14,89.92,110.5,112.65,104.87,199.99,161.26,130.16,164.21
14,94.47,103.48,126.84,74.6,250.02,180.62,190.47,265.03
14,86.53,99.65,99.77,97.45,191.77,190.94,196.46,289.07
14,97.38,94.63,113.5,108.17,156.23,136.62,121.06,161.93
14,79.89,118.92,103.42,89.04,184.28,218.95,181.67,145.54
14,104.78,96.28,109.99,114.66,176.72,106.57,205.31,91.19
14,84.64,107.93,99.72,85.56,251.67,105.37,191.27,164.82
14,90.25,106,112.99,99.92,221.15,232.59,224.62,176.1
14,89.3,108.58,105.96,104.03,178.37,190.64,273.83,99.69
14,95.36,104.66,99.36,100.61,158.06,275.24,237.72,235.83
14,97.43,118.73,106.14,96.39,175.56,187.48,317.9,170.88
14,103.77,121,117.15,95.32,156.01,250.27,173.17,296.96
14,84.89,111.52,197.85,102.28,247.82,198.07,204.45,161.05
14,90.53,120.52,111.35,98.45,250.26,258.39,165.07,232.4
14,134.65,109.12,109.07,90.05,170.13,214.6,264.14,210.47
14,106.15,112.67,114.09,117.42,125.58,291.75,236.61,230.62
14,114.42,121.13,103.54,91.22,181.6,118.53,138.13,198.21
14,93.72,108.4,108.3,89.93,114.44,150.22,234.36,208.38
14,83.02,129.7,110.24,101.29,140.21,139.33,137.97,123.23
14,85.19,101.75,106.88,104.26,108.29,261.47,261.24,244.33
14,94.69,106.08,117.45,103.8,179.13,111.03,269.08,144.18
14,94.7,119.02,113.51,107.2,139.45,135.21,191.18,113.11
14,96.7,88.14,110.1,99.1,260.57,186.45,112.83,78.89
14,85.33,94.58,109.83,103.39,124.24,161.02,231.53,190.48
14,95.99,122.03,108.36,97.61,141.96,174.19,179.84,97.06
14,105.12,119.6,89.88,90.75,161.39,124.69,269.03,180.74
14,104.72,104.44,92.16,103.54,157.8,246.2,224.85,145.84
14,96.81,97.64,106.5,92.99,211.22,91.85,230.22,94.17
14,89.12,111.62,97.54,104.62,236.6,184.9,159.8,254.45
14,106.89,122.69,103.57,84.67,187.92,263.33,279.94,111.71
14,87.54,102.19,116.46,83.62,131.5,138.67,134,203.11
14,111.52,109.99,92.3,96.4,196.79,197.66,260.13,204.02
17,92.66,108.82,120.57,91.59,171.56,145.04,279.74,143.83
17,99.07,123.43,127.84,104.03,144.33,95.67,266.15,123.97
17,98.33,104.77,116.68,100.07,148.9,153.46,283.87,233.43
17,93.74,104.34,119.84,105.75,188.35,211.59,311.4,209.85
17,107.94,113.35,133.2,88.86,212.67,162.66,305.14,89.75
17,111.76,111.83,113.34,102.05,201.54,178.33,210.32,269.78
17,108.13,118.44,126.2,111.35,128,294.87,271.06,224.02
17,101.65,158.62,131.19,100.75,125.01,309.75,321.31,300.28
17,117.82,225.16,110.39,94.95,208.57,235.99,262.57,314.26
17,132.69,208.06,128.77,93.64,273.37,251.69,303.8,312.77
17,108.72,118.86,104.47,98.71,163.15,167.16,261.96,290.93
17,81.22,115.11,95.01,96.88,170.45,127.89,302.7,184.75
17,102.75,148.69,133.04,89.04,232.44,262.15,271.02,248.76
17,107.39,116.82,109.34,86.65,240.59,129.18,244.53,197.49
17,107.76,,96.62,110.26,171.66,185.41,156.98,279.7
17,99.81,,108.61,97.92,116.03,161.72,268.37,288.87
17,92.93,,116.51,106.69,181.89,238.5,290.72,118.16
17,107.19,,127.36,89.63,187.33,184.97,312.31,146.46
17,94.5,,109.31,105.6,179.44,148.87,305.14,205.57
17,90.75,,115.52,104.23,237.36,205.94,224.67,152.25
17,98.77,,113.13,112.9,131.84,192.8,278.14,173.08
17,114.57,,98.59,92.85,245.56,197.62,286,207.95
17,85.5,,105.2,102.59,216.11,305.83,100,330.15
17,115.9,,116.6,111.24,155.77,161.11,298.8,181.98
17,110.93,,115.6,89.08,124.42,230.33,299.54,103.78
17,90.57,,116.1,86.79,235.93,254.4,281.96,107.91
17,128.46,,117.62,99.34,346.1,238.13,195.99,269.99
17,102.05,,118.56,97.06,109.75,286.08,211.4,261.74
17,103.9,,143.88,99.98,141.02,152.77,316.67,159.7
17,99.75,,113.07,115.35,329.96,258.35,291.57,95.07
17,177.71,,111.62,103.2,193.08,198.91,190.87,198.47
17,273.13,,118.91,96.9,276.72,162.49,295.14,125.76
17,93.07,,119.96,96.13,151.13,234.17,249.17,235.75
17,105.1,,108.89,107.82,154.96,289.76,294.92,193.21
17,112.09,,119.07,100.02,205.04,280.53,209.83,93.99
17,215.07,,92.55,91.42,322.4,224.52,302.42,180.03
17,110.56,,197.33,88.4,247.24,152.3,284.67,201.08
17,111.24,,101.1,93.37,188.17,273.84,298.06,128.43
17,92.33,,93.67,101.07,244.46,288.61,305.08,315.71
17,153.42,,130.09,107.4,282.89,152.94,305.29,109.84
17,103.74,,112.04,115.23,122.92,257.37,322.41,239.32
17,,,114.22,93.69,216.3,180.34,307.21,268.54
17,,,129.24,100.69,315.51,132.56,185.49,84.42
17,,,122.78,158.34,291.95,206.82,315.65,286.11
17,,,112.69,111.54,100,161.83,262.88,289.81
17,,,120.03,109.25,318.33,317.33,203.81,205.41
17,,,130.06,93.58,190.56,212.79,281.33,136.27
17,,,107.08,90.69,179.72,257.22,310.48,180.24
17,,,130.36,97,329.61,277.72,166.34,136.85
17,,,115.35,113.03,242.38,204.63,235.25,198.11
19,107.94,108.82,128.04,91.59,206.81,251.93,297.3,357.25
19,111.76,123.43,122.91,104.03,188.52,119.01,283.58,158.41
19,108.13,104.77,125.39,100.07,177.06,133.43,286.02,312.6
19,101.65,116.52,126.47,105.75,169.92,183.16,274.99,305.41
19,117.82,120.3,115.04,88.86,151.82,207.67,302.24,195.84
19,132.69,93.11,116.48,102.05,243.47,151.25,273.98,258.5
19,108.72,252.33,116.78,111.35,128.33,176.19,304.48,131.6
19,81.22,86.32,135.95,100.75,167.25,127.29,267.03,124.5
19,102.75,104.34,137.85,94.95,163.5,123.45,252.9,326.83
19,92.66,115.11,124.58,93.64,139.28,217.23,246.5,224.76
19,99.07,119.32,120.68,98.71,337.98,159.3,307.33,228.8
19,98.33,158.62,118.54,96.88,235.25,214.02,217.47,308.04
19,93.74,225.16,116.64,89.04,152.06,197.28,301.83,326.17
19,107.39,210.68,126.66,86.65,313.88,137.57,277.74,100
19,107.76,118.86,127.83,110.26,325.93,254.77,305.49,281.02
19,99.81,117.24,126.13,97.92,139.65,277.8,218.53,273.11
19,92.93,99.64,131.91,106.69,160.1,137.16,304.68,306.58
19,107.19,107.52,123.9,89.63,279.01,203.96,273.71,220.71
19,94.5,119.89,124.76,105.6,337.49,307.09,278.79,277.83
19,90.75,178.69,111.93,104.23,182.42,103.69,324.76,304.43
19,98.77,115.11,107.91,112.9,247.27,259.8,263.56,197.12
19,114.57,146.83,104.47,92.85,152.75,159.79,276.68,256.86
19,85.5,116.82,95.01,102.59,304.54,296.55,193.19,259.31
19,115.9,,133.04,111.24,152.32,139.75,281.34,134.76
19,110.93,,109.34,89.08,326.5,279.69,292.31,257.97
19,90.57,,96.62,86.79,144.65,168.93,303.13,188.78
19,128.46,,108.61,99.34,186.59,185.38,196.87,313.65
19,102.05,,116.51,97.06,271.85,109.09,256.52,133.03
19,103.9,,127.36,99.98,303.13,210.58,311.17,319.03
19,99.75,,109.31,115.35,226.05,257.32,303.28,180.81
19,106.62,,115.52,97.76,279.33,152.35,206.39,282.98
19,95.95,,111.62,103.2,190.77,290.51,280.63,218.28
19,123.74,,118.91,96.9,263.64,279.62,229.51,305.39
19,172.51,,119.96,96.13,215.04,267.5,285.43,142.23
19,108.69,,108.89,107.82,184.83,273.74,257.07,235.81
19,74.27,,119.07,100.02,330.37,313.11,240.84,226.01
19,273.68,,92.55,91.42,133.87,264.44,257.9,131.66
19,150.27,,197.33,88.4,297.34,330.53,324.48,197.14
19,105.76,,101.1,93.37,248.79,284.53,256.41,144.36
19,210.32,,93.67,101.07,298.57,221.57,305.97,180.1
19,111.67,,130.09,107.4,318.75,281.05,132.36,220.59
19,115.86,,112.04,115.23,158.51,172.52,299.12,291.66
19,94.36,,114.22,93.69,309.72,307.25,127.72,134.65
19,107.59,,129.24,100.69,145.48,254.16,228.2,301.16
19,100.14,,122.78,98.46,170.33,206.98,332.89,101.6
19,105.4,,112.69,104.72,114.04,186.17,318.53,294.02
19,91.78,,120.03,112.66,257.58,124.42,299.14,155.01
19,,,130.06,110.4,141.53,215.41,289.24,293.64
19,,,107.08,100.46,219.93,276.2,298.33,130.68
19,,,130.36,90.08,312.84,177.43,100,296.28
22,145.98,109.8,145.73,97.96,181.53,244,233.75,265.57
22,137.34,153.4,165.08,82.25,223.32,245.33,251.9,173.28
22,113.82,127.86,145.93,133.36,232.48,292.24,257.15,186.96
22,97.32,285.09,132.99,125.13,188.62,296.27,316.39,273.97
22,117.7,111.21,137.02,113.64,207.28,276.06,195.72,182.57
22,89.79,112.49,129.88,108.18,146.98,235.46,300,193.18
22,143.9,163.56,114.57,128.9,156.44,269.73,294.56,199.88
22,144.04,206.06,111.35,113.14,258.81,255.45,249.35,255.82
22,114.25,169.02,120.18,120.07,155.44,285.62,275.82,220.28
22,87.68,233.67,171.29,111.79,189.2,205.21,262.15,294.96
22,141.97,216.58,130.84,111.87,204.8,211.1,160.26,299.93
22,133.68,226.77,153.85,134.91,201.1,261.28,267.74,274.68
22,148.96,292.1,126.79,94.45,180.49,123.26,214.78,231.6
22,107.13,168.01,167.45,92.66,213.77,157.66,206.96,218.33
22,99.43,176.76,161.59,120.47,188.7,234.86,300.42,172.53
22,105.19,143.33,171.83,94.89,182.93,274,225.89,244.89
22,159.38,,165.49,126.06,195.19,237.43,189.22,304.18
22,129.05,,96.34,111.91,159.17,228.64,302.37,263.22
22,155.8,,141.16,114.27,226.46,275.61,294.85,166.89
22,101.31,,101.6,127.8,254.52,229.8,273.09,228.27
22,133.9,,139.41,127.84,201.74,224.15,267.14,281.72
22,223.39,,169.23,132.21,178.32,210.77,281.34,214.73
22,106.28,,161.34,126.89,238.41,145.78,252.23,214.86
22,146.81,,162.97,140.14,141.63,197.45,219.02,251.78
22,112.25,,147.18,132.72,242.55,187.14,234.98,301.56
22,116.52,,136.06,110.2,263.32,270.39,200.6,283.05
22,196.05,,165.4,143.81,151.88,193.53,298.87,157.72
22,130.16,,131.21,133.67,179.89,125.29,272.6,155.49
22,122.15,,164.33,133.83,140,157.94,200.13,152.43
22,152.43,,120.24,153.62,150.16,245.99,174.28,283.4
22,139.27,,136.87,162.8,188.01,283.22,210.96,264.05
22,206.98,,129.67,97.84,326.24,162.1,140.6,286.67
22,115.75,,119.32,105.76,154.2,127.72,211.04,259
22,132.68,,125.98,260.09,254.46,176.9,258.3,284.76
22,98.54,,114.32,126.15,167.28,192.18,285.85,215.91
22,148.5,,114.65,116.9,205.64,148.73,275.3,278.74
22,204.62,,115.98,117.67,247.41,107.5,294.86,97.41
22,142.63,,132.03,88.12,192.44,135.19,305.04,138.34
22,228.19,,141.06,103.13,158.6,259.8,100,104.12
22,166.17,,125.38,135.39,124.1,280.01,120.65,102.5
22,111.98,,114.12,109.68,269.33,273.42,331.5,262.2
22,217.05,,120.06,91.29,173.33,193.97,296.49,217.7
22,108.84,,117.13,101.7,173.79,195.13,130.6,199.69
22,249.12,,135.37,187.23,299.24,183.54,290.12,129.62
22,108.93,,117.66,128.9,212.53,279.41,278.47,101.84
22,113.79,,120.7,128.39,279.07,321.31,278.82,227.68
22,,,122.84,118.47,235.64,237.87,225.01,304.61
22,,,132.28,115.46,329.73,223.81,309.03,242.59
22,,,140.95,82.57,296.46,216.54,281.54,241.9
22,,,115.91,99.31,221.92,178.59,187.84,160.99
25,217.8,271.77,281.55,163.93,243.62,303.72,302.63,250.84
25,172.22,225.36,216.5,213.5,251.68,265.51,256.33,286.88
25,170.76,293.07,212.77,199.97,176.44,238.93,268.99,276.91
25,184.53,160.11,243.74,111.31,165.45,239.91,287.68,208.19
25,273.61,156.37,267.6,220.46,283.82,301.91,290.82,297.97
25,176.8,243.46,184.63,207.55,249.08,284.23,229.45,184.69
25,211.99,295.57,220.38,152.79,150.94,149.38,258.97,244.28
25,278.36,296.59,235.58,239.72,258.79,271.42,297.63,269.56
25,301.44,302.81,176.35,182.57,242.14,208.49,291.16,250.07
25,232.87,168.23,234.85,142.45,300.12,203.73,304.71,251.74
25,272.03,161.97,244.12,182.58,255.04,307.46,182.63,302.36
25,214.91,308.93,230.02,188.15,282.03,286.95,234.58,213.35
25,173.22,293.44,237.91,299.79,283.62,223.77,261.51,259.15
25,186.34,206.82,171.31,249.61,288.28,168.84,289.74,273.51
25,173.69,227.58,244.06,221.69,190.03,314.1,304.4,194.9
25,249.19,231.94,235.03,158.65,246.32,285.67,174.38,246.2
25,253.57,305.44,177.7,194.87,260.44,314.29,301.32,310.13
25,177.7,298.02,145.68,220.16,152.12,221.31,295.58,189.41
25,277.48,183.22,193.6,143.1,180.07,249.46,275.82,257.59
25,214.19,250.35,231.54,147.54,147.32,254.79,273.81,294.47
25,275.61,283.99,218.4,194.86,273.9,258.99,314.55,297.35
25,172.92,,215.72,146.5,184.19,210,306.28,310.59
25,303.43,,243.37,289.34,174.13,291.01,294.28,176.66
25,213.35,,303.45,213.04,174.87,275.05,132.92,272.2
25,207.1,,189.22,292.63,219.91,278.06,255.47,196.99
25,182.37,,230.57,192.44,315.08,238.05,176.29,242.24
25,174.28,,270.62,225.58,292.53,286.33,280.43,289.4
25,152.39,,252.87,145.58,223.91,204.99,233.43,316.91
25,235.87,,261.95,153.98,312.77,271.82,300.47,308.48
25,198.41,,232.07,199.99,252.05,206.95,219,285.29
25,,,176.2,304.64,228.84,270.26,292.23,225.02
25,,,189.09,178.97,260.45,217.79,293.93,136.77
25,,,203.46,170.58,286.83,264.09,317.59,274.88
25,,,195.09,271.76,272.43,295.9,236.45,132.41
25,,,265.01,181.85,240.77,203.94,278.99,261.32
25,,,153.07,211.09,213.52,215.56,198.04,143.77
25,,,249.17,198.35,209.24,280.89,285.08,145.41
25,,,177.32,186.98,177.32,200.23,204.15,310.9
25,,,217.86,143.76,148.32,179.02,206.51,285.88
25,,,185.49,203.58,177.35,193.02,173.49,263.36
25,,,207.33,199.09,266.35,307.84,244.12,297.99
25,,,207.08,212.65,302.07,297.95,182.68,269.92
25,,,183.76,300.86,284.25,221.25,275.82,307.91
25,,,215.47,184.15,298.83,290.56,256.05,321.78
25,,,155.95,186.98,276.13,272.67,299.7,216.66
25,,,166.02,170.99,298.62,232.44,126.11,188.45
25,,,153.61,182.8,198.37,299.4,160.62,200.24
25,,,183.83,178.04,280.18,264.37,274.1,283.83
25,,,189.86,271.27,229.07,263.4,292.15,278.32
25,,,164.49,171.43,148.51,229.03,294.7,141.53
29,254.58,302.67,290.94,263.51,247.49,303.21,315.01,302.34
29,100,160.38,280.86,267.53,250.03,265.39,290.09,273.89
29,281.87,257.36,247.52,258.56,290.44,262.94,297.13,246.67
29,272.5,265.1,271.88,224.21,307,297.41,274.36,288.89
29,296.34,268.89,215.21,241.64,295.71,303.44,319.33,289.83
29,306.92,263.1,315.22,262.97,301.77,268.33,318.09,276.18
29,100,281.4,306.22,263.87,308.66,318.92,282.85,296.24
29,245.86,264.86,302.61,249.81,287.54,271.37,318.75,266.78
29,267.17,231.67,271.97,287.4,298.45,289.44,283.46,272.09
29,272.48,263.59,300.74,250.76,294.82,226.98,208.17,286.47
29,301.86,143.74,269.01,245.02,142.25,287.86,259.57,299.51
29,100,,283.71,249.24,308.28,296.07,294.81,306.07
29,306.8,,298.23,256.92,282.88,251.94,286.81,309.14
29,,,306.77,244.8,311.24,298.87,281.48,279.12
29,,,248.95,193.5,235.63,263.17,315.01,273.54
29,,,270.02,265.83,297.98,285.76,301.72,287.72
29,,,312.52,272.11,296.01,280.24,292.71,294.58
29,,,280.03,276.34,265.5,320.91,283.51,249.33
29,,,277.62,272.58,287.66,271.67,301.55,286.36
29,,,186.24,274.09,310.79,257.97,307.15,294.05
29,,,245.65,252.08,293.85,246.66,293.75,274.89
29,,,253.66,214.05,255.13,264.2,293.57,292.06
29,,,190.13,291,282.27,286.64,296.24,253.81
29,,,273.09,284.23,296.37,259.23,285.92,269.19
29,,,260.77,201.78,277.83,260.31,334.24,294.13
29,,,265.69,285.12,260.95,261.06,295.8,302.81
29,,,281.32,238.79,311.14,235.21,292.5,237.36
29,,,187.13,292.76,293.95,294.05,294.15,306.37
29,,,251.63,219.54,308.51,278.23,286.03,313.96
29,,,271.12,217.58,274.19,213.65,293.2,317.12
29,,,261.02,250.09,284.54,218.85,314.24,304.6
29,,,262.56,199.4,259.29,261.9,309.72,320.88
29,,,280.66,179.35,174.75,225.56,315.1,295.92
29,,,261.09,256.01,251.63,242.73,283.69,302.31
29,,,241.65,243.36,260.73,162.59,315.75,314.69
29,,,288.83,163.13,281.42,316.69,218.57,309.44
29,,,238.73,186.73,251.52,240.78,266.57,304.13
29,,,249.18,194.63,202.35,225.74,274.72,325.58
29,,,224.71,264.75,234.91,252.62,297.93,288.7
29,,,258.87,222.51,238.24,271.23,248.97,290.38
29,,,227.2,211.99,248.5,246.93,269.37,311.75
29,,,268.11,251.46,255.98,258.42,283.52,312.54
29,,,266.73,236.78,237.16,222,284.5,311.71
29,,,171.72,279.69,252.9,144.85,289,212.78
29,,,274.12,297.21,247.97,235.76,274.14,309.34
29,,,280.79,254.58,246.25,251.17,281.21,300.82
29,,,272.7,291.22,277.28,208.86,224.15,302.52
29,,,289.47,287.33,295.8,222.77,290.94,219.03
29,,,295.08,215.69,262.03,250.45,296.68,233.62
29,,,214.07,280.68,231.18,230.74,154.97,308.91
