Location,Mass,Sex,Shell Length
San Diego,26.19,M,62.92
San Diego,61.62,F,81.62
San Diego,62.4,F,81.51
San Diego,47.67,M,78.12
San Diego,66.01,F,83.26
San Diego,43.45,F,77.37
San Diego,19.11,M,56.75
San Diego,42.1,M,71.13
San Diego,40.82,M,73.24
San Diego,42.28,F,75.12
San Diego,26.18,M,65.92
San Diego,26.17,F,63.48
Santa Barbara,146.68,M,116.74
Santa Barbara,192.53,F,127.61
Santa Barbara,259.22,F,137.97
Santa Barbara,130.47,F,110.68
Santa Barbara,181.32,M,126.62
Santa Barbara,120.4,F,104.6
Santa Barbara,155.42,F,117.9
Santa Barbara,186.71,F,122.64
Santa Barbara,151.41,F,116.72
Santa Barbara,172.56,M,120.15
Santa Barbara,194.79,M,130.42
Santa Barbara,154.87,F,110.77
Santa Barbara,171.86,F,114.93
Santa Barbara,133.69,F,115.72
Santa Barbara,,F,115.5
Santa Barbara,,M,111.7
Santa Barbara,,F,115.11
Santa Barbara,,F,132.9
Santa Barbara,,F,118.5
Santa Barbara,,M,119.6
Santa Barbara,,F,109.7
Santa Barbara,,M,114.12
Santa Barbara,,M,121.6
Santa Barbara,,F,123.41
Santa Barbara,197.62,F,121.89
Santa Barbara,213.134,M,120.39
Santa Barbara,155.539,M,120.42
Santa Barbara,203.283,F,113.49
Santa Barbara,150.085,M,124.32
Santa Barbara,185.991,F,121.19
Santa Barbara,176.327,M,122.6
Santa Barbara,153.659,M,118.03
Santa Barbara,161.536,F,113.31
Santa Barbara,179.497,F,120.69
Santa Barbara,178.048,F,120.17
Santa Barbara,214.197,F,128.89
Santa Barbara,147.82,M,112.5
Santa Barbara,198.8,F,127.34
Santa Barbara,140.482,F,106.79
Santa Barbara,161.357,M,110.11
Santa Barbara,148.865,M,115.05
Santa Barbara,117.581,F,109.22
Santa Barbara,146.674,M,104.86
Santa Barbara,155,F,110.85
Santa Barbara,153.669,F,114.85
Santa Barbara,152.418,F,108.79
Santa Barbara,160.901,F,113.14
Santa Barbara,207.148,M,133.4
Santa Barbara,184.021,F,111.41
Santa Barbara,154.732,F,117.99
Santa Barbara,282.688,F,135.5
Santa Barbara,225.312,F,126.6
Santa Barbara,105.188,F,99.31
Santa Barbara,93.602,M,87.54
Santa Barbara,173.959,F,109.53
Santa Barbara,74.637,M,89.13
Santa Barbara,106.821,M,94.6
Santa Barbara,109.762,F,96.06
Santa Barbara,286.108,,137.33
Santa Barbara,197.247,F,117.02
Santa Barbara,167.646,F,120.7
Santa Barbara,116.508,F,104.88
Santa Barbara,274.836,F,137.89
Santa Barbara,125.243,M,108.09
Santa Barbara,167.714,M,108.74
Santa Barbara,107.339,M,105.33
Santa Barbara,104.571,M,109.94
Santa Barbara,61.337,M,84.82
Santa Barbara,151.551,F,106.24
Santa Barbara,69.205,M,88.25
Santa Barbara,169.072,F,115.32
Santa Barbara,77.035,M,91.3
Santa Barbara,194.095,M,124.52
Santa Barbara,161.115,F,109.83
Santa Barbara,239.871,F,134.61
Santa Barbara,150.772,M,120.45
Santa Barbara,63.206,F,87.41
Santa Barbara,135.164,F,109
Santa Barbara,223.967,F,136.46
Santa Barbara,315.904,F,126.82
Santa Barbara,152.754,M,109.75
Santa Barbara,160.551,M,112.99
Santa Barbara,216.477,F,125.38
Santa Barbara,226.9,M,114.76
Santa Barbara,192.675,F,116.18
Santa Barbara,217.012,F,130.22
Santa Barbara,134.41,M,120.15
Santa Barbara,248.362,M,130.69
Santa Barbara,224.974,F,130.77
Santa Barbara,161.723,M,121.26
Santa Barbara,139.937,M,112.31
Santa Barbara,204.19,F,127.19
Santa Barbara,204.522,F,131.7
Santa Barbara,74.633,M,92.16
Santa Barbara,154.424,F,114.93
Santa Barbara,100.385,M,111.83
Santa Barbara,170.367,F,112.76
Santa Barbara,240.404,F,134.82
Santa Barbara,280.738,F,132.94
Santa Barbara,256.492,F,142.43
Santa Barbara,121.793,F,111.852
Santa Barbara,100.456,M,99.75
Santa Barbara,139.797,F,102.6
Santa Barbara,136.137,F,109.77
Santa Barbara,143.229,F,104.12
Santa Barbara,101.529,M,96.6
Santa Barbara,219.189,F,126.86
Santa Barbara,202.662,F,130.34
Santa Barbara,160.755,M,100.97
Santa Barbara,245.352,F,134.51
Santa Barbara,96.39,F,104.51
Santa Barbara,229.793,M,139.56
Santa Barbara,151.385,F,122.25
Santa Barbara,222.33,M,131.26
Santa Barbara,124.274,F,109.47
Santa Barbara,134.426,F,108.32
Santa Barbara,264.258,M,141.54
Santa Barbara,251.199,F,135.67
Santa Barbara,249.557,M,128.17
Santa Barbara,294.647,F,143.06
Santa Barbara,86.15,M,101.76
Santa Barbara,142.518,F,112.2
Santa Barbara,231.971,F,128.03
Santa Barbara,151.365,M,95.29
Santa Barbara,53.015,M,79.31
Santa Barbara,125.648,F,96.54
Santa Barbara,92.342,M,101.37
Santa Barbara,124.179,F,102.32
Santa Barbara,234.279,F,133.69
Santa Barbara,238.789,M,134.62
Santa Barbara,111.966,M,96.38
Santa Barbara,220.77,M,121.92
Santa Barbara,85.739,F,103.86
Santa Barbara,219.047,M,139.84
Santa Barbara,140.562,M,105.69
Santa Barbara,121.385,F,103.06
Santa Barbara,209.805,F,122.21
Santa Barbara,105.459,F,98.69
Santa Barbara,151.812,F,116.16
Santa Barbara,182.452,F,115.82
Santa Barbara,169.519,F,120.06
Santa Barbara,267.105,F,139.58
Santa Barbara,173.027,F,116.57
Santa Barbara,104.18,F,98.99
Santa Barbara,272.068,F,130.11
Santa Barbara,262.477,F,136.15
Santa Barbara,168.654,F,117.7
Santa Barbara,192.219,F,128.96
Santa Barbara,184.893,F,110.98
Santa Barbara,213.479,F,124.48
Santa Barbara,263.825,F,130.74
Santa Barbara,125.247,F,103.76
Santa Barbara,128.951,M,120.24
Santa Barbara,180.465,F,126.43
Santa Barbara,354.513,F,
Santa Barbara,166.212,F,115.3
Santa Barbara,191.235,F,123.05
Santa Barbara,192.679,F,112.8
Santa Barbara,158.35,M,102.2
Santa Barbara,239.569,F,130.99
Santa Barbara,81.261,M,98.77
Santa Barbara,336.834,F,140.42
Santa Barbara,187.035,M,124.98
Santa Barbara,212.403,F,130.85
Santa Barbara,99.233,F,99.82
Santa Barbara,140.565,M,114.41
Santa Barbara,47.629,M,82.76
Santa Barbara,151.414,M,111.74
Santa Barbara,132.573,M,112.87
Santa Barbara,209.096,F,121.16
Santa Barbara,97.515,F,101.43
Santa Barbara,85.453,F,89.68
Santa Barbara,152.623,,122.28
Santa Barbara,136.113,F,107.89
Santa Barbara,124.305,M,96.22
Santa Barbara,111.379,F,105.25
Santa Barbara,116.25,F,105.49
Santa Barbara,118.477,F,94.06
Santa Barbara,182.315,F,113.27
Santa Barbara,101.718,M,98.35
Santa Barbara,164.265,F,105.17
Santa Barbara,104.805,M,110.59
Santa Barbara,283.178,M,142.96
Santa Barbara,71.085,M,93.47
Santa Barbara,386.673,F,142.94
Santa Barbara,80.131,F,101.63
Santa Barbara,305.598,F,139.22
Santa Barbara,251.68,M,127.16
Santa Barbara,312.369,F,140.99
Santa Barbara,117.41,M,112.71
Santa Barbara,132.811,F,105.47
Santa Barbara,153.631,M,106.93
Santa Barbara,132.992,F,105.79
Santa Barbara,106.695,F,111.69
Santa Barbara,139.249,M,107.32
Santa Barbara,145.203,F,105.35
Santa Barbara,308.708,F,134.87
Santa Barbara,358.803,F,151.34
Santa Barbara,196.884,F,114.27
Santa Barbara,115.854,F,103.18
Santa Barbara,187.073,,114.25
Santa Barbara,154.994,M,112.18
Santa Barbara,256.171,F,126.44
Santa Barbara,141.292,F,118.25
Santa Barbara,241.314,F,127.17
Santa Barbara,244.303,F,129.79
Santa Barbara,244.951,M,128.91
Santa Barbara,223.941,M,121.94
Santa Barbara,261.341,F,127.74
Santa Barbara,212.567,F,121.32
Santa Barbara,134.726,F,116.28
Santa Barbara,326.756,F,136.16
Santa Barbara,92.216,F,93.84
Santa Barbara,340.053,F,134.03
Santa Barbara,98.104,F,100.1
Santa Barbara,143.765,M,110.58
Santa Barbara,61.596,M,83.5
Santa Barbara,129.831,M,103.98
Santa Barbara,55.243,M,83.87
Santa Barbara,186.038,M,129.92
Santa Barbara,68.154,M,87.35
Santa Barbara,96.033,M,99.13
Santa Barbara,391.223,F,133.68
Santa Barbara,134.603,M,103.19
Santa Barbara,140.623,F,108.97
Santa Barbara,111.341,M,91.2
Santa Barbara,207.171,M,130.03
Santa Barbara,91.304,F,101.58
Santa Barbara,150.325,M,103.59
Santa Barbara,102.895,F,101.4
Santa Barbara,123.548,M,103.18
Santa Barbara,149.681,F,111.24
Santa Barbara,116.954,M,99.71
Santa Barbara,161.201,F,112.41
Santa Barbara,114.723,F,109.32
Santa Barbara,133.897,M,111.44
Santa Barbara,232.698,M,123.49
Santa Barbara,261.416,F,132.92
Santa Barbara,61.709,M,88.88
Santa Barbara,115.113,M,106.37
Santa Barbara,129.802,M,109.96
Santa Barbara,137.108,F,105.85
Santa Barbara,152.77,F,102.18
Santa Barbara,171.445,F,117.6
Santa Barbara,143.02,M,114.35
Santa Barbara,141.55,F,112.43
Santa Barbara,186.204,M,117.65
Santa Barbara,82.387,F,95.49
Santa Barbara,258.064,F,132.12
Santa Barbara,110.324,F,98.75
Santa Barbara,175.464,M,128.98
Santa Barbara,86.292,F,96.6
Santa Barbara,209.867,M,119.31
Santa Barbara,132.867,M,103.39
Santa Barbara,282.365,M,128
Santa Barbara,152.747,F,123.02
Santa Barbara,243.147,M,136.06
Santa Barbara,326.77,F,145.29
Santa Barbara,389.045,F,152.64
Santa Barbara,203.834,M,129.11
Santa Barbara,89.27,M,97.46
Santa Barbara,187.088,M,119.83
Santa Barbara,155.3,F,109.63
Santa Barbara,282.487,F,130
Santa Barbara,68.832,F,85.15
Santa Barbara,75.22,F,101.11
Santa Barbara,96.766,F,104.02
Santa Barbara,270.042,M,137.55
Santa Barbara,218.198,M,122.34
Santa Barbara,403.892,M,147.51
Santa Barbara,318.387,F,145.97
Santa Barbara,109.791,F,108.6
Santa Barbara,160.295,M,107.79
Santa Barbara,219.483,M,129.59
Santa Barbara,221.168,F,130.56
Santa Barbara,214.939,F,125.08
Santa Barbara,223.637,F,
Santa Barbara,258.607,F,
Santa Barbara,340.858,F,
Santa Barbara,227.402,F,
Santa Barbara,144.165,F,111.99
Santa Barbara,74.398,M,83.69
Santa Barbara,129.183,M,102.5
Santa Barbara,156.78,,109.81
Santa Barbara,280.691,,126.29
Santa Barbara,190.165,,117.66
Santa Barbara,192.853,F,121.72
Santa Barbara,175.81,,123.02
Santa Barbara,257.989,F,131.3
Santa Barbara,219.228,M,123.54
Santa Barbara,195.318,M,117.53
Santa Barbara,201.161,M,114.56
Santa Barbara,171.657,F,114.07
Santa Barbara,258.752,F,129.85
Santa Barbara,177.754,M,103.07
Santa Barbara,186.328,F,113.6
Santa Barbara,213.961,M,124.59
Santa Barbara,189.791,M,
Santa Barbara,174.487,F,
Santa Barbara,278.934,F,
Santa Barbara,153.351,F,
Santa Barbara,263.388,F,
Santa Barbara,380.695,F,
Santa Barbara,261.604,M,
Santa Barbara,292.303,F,
Santa Barbara,209.476,F,
Santa Barbara,216.249,F,
Santa Barbara,232.921,F,
Santa Barbara,177.127,F,
Santa Barbara,221.364,F,
Santa Barbara,245.475,F,
Santa Barbara,230.701,F,
Santa Barbara,282.214,F,
Santa Barbara,130.634,F,
Santa Barbara,119.567,F,
Santa Barbara,235.387,M,
Santa Barbara,276.138,,
Santa Barbara,160.507,F,
Santa Barbara,255.902,F,
Santa Barbara,199.103,F,
Santa Barbara,176.279,M,
Santa Barbara,159.375,M,
Santa Barbara,95.976,F,
Santa Barbara,264.188,M,134.62
Santa Barbara,133.761,M,105.34
Santa Barbara,186.555,F,113.11
Santa Barbara,163.583,F,116.35
Santa Barbara,148.972,F,109.49
Santa Barbara,110.454,F,101.32
Santa Barbara,131.709,F,112
Santa Barbara,279.071,F,144.84
Santa Barbara,160.38,F,116.81
Santa Barbara,267.812,F,139.58
Santa Barbara,219.016,F,131.44
Santa Barbara,233.432,F,134.16
Santa Barbara,288.977,F,141.21
Santa Barbara,191.943,F,118.52
Santa Barbara,173.371,F,119.85
Santa Barbara,255.461,F,145.71
Santa Barbara,258.195,M,143.18
Santa Barbara,231.929,F,127.52
Santa Barbara,168.51,M,118.58
Santa Barbara,370.8,F,155.28
Santa Barbara,198.35,M,121.87
Santa Barbara,230.43,F,129.47
Santa Barbara,188.8,F,124.86
Santa Barbara,135.64,F,110.88
Santa Barbara,239.64,F,137.63
Santa Barbara,166.1,M,118.7
Santa Barbara,134.13,M,110.69
Santa Barbara,143.2,F,119.75
Santa Barbara,226.79,F,128.99
Santa Barbara,232.563,F,128.55
Santa Barbara,156.443,F,117.8
